data_captura,data_referencia,data_referencia_pagina,indicador,categoria,valor,unidade,conjunto,arquivo_origem,registro_hash,campo,data_e_hora_da_ltima_atualiza_o_03_06_2026_09_30_h
2026-06-01,2026-06-01,2026-06-01 16:09:00,Estimativa SELIC,Taxa de Juros,14.40,% a.a.,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,Taxa SELIC (BC),Taxa de Juros,14.40,% a.a.,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,DI-B3,Taxa de Juros,14.40,% a.a.,,,,,
2026-06-01,2026-05-01,2026-06-01 16:09:00,IGP-M Número Índice,Índice de Preços,1.229.904,índice,,,,,
2026-06-01,2026-05-01,2026-06-01 16:09:00,IGP-M Var % mês,Índice de Preços,0.84,%,,,,,
2026-06-01,2026-04-01,2026-06-01 16:09:00,IPCA Número Índice,Índice de Preços,7.596.09,índice,,,,,
2026-06-01,2026-04-01,2026-06-01 16:09:00,IPCA Var % mês,Índice de Preços,0.67,%,,,,,
2026-06-01,2026-05-01,2026-06-01 16:09:00,IPCA Projeção,Índice de Preços,0.50,%,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,Dólar Comercial Compra,Câmbio,5.0297,R$,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,Dólar Comercial Venda,Câmbio,5.0303,R$,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,Euro Compra,Câmbio,5.8455,R$,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,Euro Venda,Câmbio,5.8472,R$,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,TR,Taxa de Referência,0.1690,% mês,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,TBF,Taxa de Referência,0.9962,% mês,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,FDS (registro 1),FDS,0.088584,R$ cota,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,FDS (registro 2),FDS,0.088584,R$ cota,,,,,
2026-06-01,2026-06-01,2026-06-01 16:09:00,IGP-M Projeção,Índice de Preços,0.40,%,,,,,
2026-06-02,2026-06-02,2026-06-02 18:25:00,Estimativa SELIC,Taxa de Juros,14.40,% a.a.,,,,,
2026-06-02,2026-06-02,2026-06-02 18:25:00,Taxa SELIC (BC),Taxa de Juros,14.40,% a.a.,,,,,
2026-06-02,2026-06-02,2026-06-02 18:25:00,DI-B3,Taxa de Juros,14.40,% a.a.,,,,,
2026-06-02,2026-05-01,2026-06-02 18:25:00,IGP-M Número Índice,Índice de Preços,1.229.904,índice,,,,,
2026-06-02,2026-05-01,2026-06-02 18:25:00,IGP-M Var % mês,Índice de Preços,0.84,%,,,,,
2026-06-02,2026-04-01,2026-06-02 18:25:00,IPCA Número Índice,Índice de Preços,7.596.09,índice,,,,,
2026-06-02,2026-04-01,2026-06-02 18:25:00,IPCA Var % mês,Índice de Preços,0.67,%,,,,,
2026-06-02,2026-05-01,2026-06-02 18:25:00,IPCA Projeção,Índice de Preços,0.50,%,,,,,
2026-06-02,2026-06-02,2026-06-02 18:25:00,Dólar Comercial Compra,Câmbio,5.0154,R$,,,,,
2026-06-02,2026-06-02,2026-06-02 18:25:00,Dólar Comercial Venda,Câmbio,5.0160,R$,,,,,
2026-06-02,2026-06-02,2026-06-02 18:25:00,Euro Compra,Câmbio,5.8379,R$,,,,,
2026-06-02,2026-06-02,2026-06-02 18:25:00,Euro Venda,Câmbio,5.8396,R$,,,,,
2026-06-02,2026-06-01,2026-06-02 18:25:00,TR,Taxa de Referência,0.1709,% mês,,,,,
2026-06-02,2026-06-01,2026-06-02 18:25:00,TBF,Taxa de Referência,1.0460,% mês,,,,,
2026-06-02,2026-06-02,2026-06-02 18:25:00,FDS (registro 1),FDS,0.088624,R$ cota,,,,,
2026-06-02,2026-06-01,2026-06-02 18:25:00,FDS (registro 2),FDS,0.088584,R$ cota,,,,,
2026-06-02,2026-06-01,2026-06-02 18:25:00,IGP-M Projeção,Índice de Preços,0.40,%,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,,,,,,,,,,,
2026-06-03,2026-06-03,2026-06-03 09:30:00,Estimativa SELIC,Taxa de Juros,14.40,% a.a.,,,,,
2026-06-03,2026-06-02,2026-06-03 09:30:00,Taxa SELIC (BC),Taxa de Juros,14.40,% a.a.,,,,,
2026-06-03,2026-06-02,2026-06-03 09:30:00,DI-B3,Taxa de Juros,14.40,% a.a.,,,,,
2026-06-03,2026-05-01,2026-06-03 09:30:00,IGP-M Número Índice,Índice de Preços,1.229.904,índice,,,,,
2026-06-03,2026-05-01,2026-06-03 09:30:00,IGP-M Var % mês,Índice de Preços,0.84,%,,,,,
2026-06-03,2026-06-01,2026-06-03 09:30:00,IGP-M Projeção,Índice de Preços,0.40,%,,,,,
2026-06-03,2026-04-01,2026-06-03 09:30:00,IPCA Número Índice,Índice de Preços,7.596.09,índice,,,,,
2026-06-03,2026-04-01,2026-06-03 09:30:00,IPCA Var % mês,Índice de Preços,0.67,%,,,,,
2026-06-03,2026-05-01,2026-06-03 09:30:00,IPCA Projeção,Índice de Preços,0.50,%,,,,,
2026-06-03,2026-06-02,2026-06-03 09:30:00,Dólar Comercial Compra,Câmbio,5.0154,R$,,,,,
2026-06-03,2026-06-02,2026-06-03 09:30:00,Dólar Comercial Venda,Câmbio,5.0160,R$,,,,,
2026-06-03,2026-06-02,2026-06-03 09:30:00,Euro Compra,Câmbio,5.8379,R$,,,,,
2026-06-03,2026-06-02,2026-06-03 09:30:00,Euro Venda,Câmbio,5.8396,R$,,,,,
2026-06-03,2026-06-01,2026-06-03 09:30:00,TR,Taxa de Referência,0.1709,% mês,,,,,
2026-06-03,2026-06-01,2026-06-03 09:30:00,TBF,Taxa de Referência,1.0460,% mês,,,,,
2026-06-03,2026-06-02,2026-06-03 09:30:00,FDS (registro 1),FDS,0.088624,R$ cota,,,,,
2026-06-03,2026-06-01,2026-06-03 09:30:00,FDS (registro 2),FDS,0.088584,R$ cota,,,,,
2026-06-03,,,,,,,anbima___indicadores_financeiros,,f59e3963bcfb3163bd846aa5,Taxa % a.a.,
2026-06-03,,,,,,,anbima___indicadores_financeiros,,ad08a14b6ca89293a22bfcde,14.4,Estimativa SELIC1
2026-06-03,,,,,,,anbima___indicadores_financeiros,,cdba0b3eef52654358c01c60,14.4,Taxa SELIC do BC2
2026-06-03,,,,,,,anbima___indicadores_financeiros,,e3d682062cea9923f7f636a2,14.4,DI-B33
2026-06-03,,,,,,,anbima___indicadores_financeiros,,c8c1e73f6b96ca8447c6d9a4,Números Índices / Variações Mensais,
2026-06-03,,,,,,,anbima___indicadores_financeiros,,f8f2d8679e47c1a21e8ba425,1229.904,IGP-M (mai/26)5
2026-06-03,,,,,,,anbima___indicadores_financeiros,,2c407ae18dc9b8805c60f2c9,0.84,
2026-06-03,,,,,,,anbima___indicadores_financeiros,,9e35141a410be4f396125cf6,0.4,IGP-M1
2026-06-03,,,,,,,anbima___indicadores_financeiros,,c342858fbeef1f328f6c95b1,7596.09,IPCA (abr/26)6
2026-06-03,,,,,,,anbima___indicadores_financeiros,,3650b8125b04bb62afa720a1,0.67,
2026-06-03,,,,,,,anbima___indicadores_financeiros,,f1901e2f33eb54cb9cc0d56d,0.5,IPCA1
2026-06-03,,,,,,,anbima___indicadores_financeiros,,22df3d9f8c52d53be84a01f9,R$ / US$,
2026-06-03,,,,,,,anbima___indicadores_financeiros,,ace8835ac5ddc0e8b4bb1112,5.0154,Dolar Comercial Compra2
2026-06-03,,,,,,,anbima___indicadores_financeiros,,c29b113dc49ba8abcfd0b2b6,5.016,Dólar Comercial Venda2
2026-06-03,,,,,,,anbima___indicadores_financeiros,,3b26bcce4148d52d55114853,R$ / EUR$,
2026-06-03,,,,,,,anbima___indicadores_financeiros,,c2450ef11ee90974ecaa672a,5.8379,Euro Compra2
2026-06-03,,,,,,,anbima___indicadores_financeiros,,a5b1cec45d6908e38b828f26,5.8396,Euro Venda2
2026-06-03,,,,,,,anbima___indicadores_financeiros,,d62210b01f9c13dd80cfdd3c,Rend. Mês (%),
2026-06-03,,,,,,,anbima___indicadores_financeiros,,9b105083f4dc0c7e7a68fd9f,0.1709,TR2
2026-06-03,,,,,,,anbima___indicadores_financeiros,,47a376609701880ffaa86883,1.046,TBF2
2026-06-03,,,,,,,anbima___indicadores_financeiros,,5ff222aedaa9c4148a84b0e3,Valor da Cota R$,
2026-06-03,,,,,,,anbima___indicadores_financeiros,,ce0ab8bdcf4e0e061846d783,0.088624,FDS4
2026-06-03,,,,,,,anbima___indicadores_financeiros,,88c9ab6584bd58116beb6859,0.088584,FDS4
2026-06-03,,,,,,,anbima___indicadores_financeiros,,e6c47516177fcda529da185d,,"Fontes: ANBIMA1, BACEN2, B33, CEF4, FGV5 e IBGE6"
2026-06-03,,,,,,,anbima___indicadores_financeiros,,6bc02c53010a2aec84e3d63d,,Elaboração: ANBIMA
