data_captura,data_referencia,number_of_operations,financial_volume,average,daily_factor,taxa_selic
2026-06-01,2026-05-29T00:00:00,3,2646973,14.4,1.000534,14.4
2026-06-02,2026-06-01T00:00:00,3,2724759,14.4,1.000534,14.4
2026-06-03,2026-06-02T00:00:00,3,2984561,14.4,1.000534,14.4
2026-06-04,2026-06-03T00:00:00,3,3165413,14.4,1.000534,14.4
2026-06-05,2026-06-03T00:00:00,3,3165413,14.4,1.000534,14.4
2026-06-06,2026-06-05T00:00:00,3,3114042,14.4,1.000534,14.4
2026-06-08,2026-06-05T00:00:00,3,3114042,14.4,1.000534,14.4
2026-06-09,2026-06-08T00:00:00,2,3081712,14.4,1.000534,14.4
2026-06-10,2026-06-09T00:00:00,2,3035921,14.4,1.000534,14.4
2026-06-11,2026-06-10T00:00:00,3,3058463,14.4,1.000534,14.4
2026-06-12,2026-06-11T00:00:00,3,3056804,14.4,1.000534,14.4
