data_captura,rpt_dt,tckr_symb,isin,sgmt_nm,mkt,open_pric,min_pric,max_pric,trad_avrg_pric,last_pric,osc,trad_qty,fin_instrm_qty,ntl_fin_vol
2026-06-03,2026-06-02T00:00:00,BOVAS173W2,BRBOVA9S16I6,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLG255W2,BRRADL3G0DS4,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR116W4,BRLREN3R0O71,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAX234,BRBOVA9X15P3,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS173W4,BRBOVA9S16T3,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG183,BRBOVA9G10G8,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR121W4,BRLREN3R0O89,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT147,BRBBDC3T0G48,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS174W2,BRBOVA9S1768,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLG260W2,BRRADL3G0EH5,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR126W4,BRLREN3R0NZ6,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,IGTIB123,BRIGTI9B0569,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS174W4,BRBOVA9S1610,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG184,BRBOVA9G12L4,EQUITY CALL,EQUITY-DERIVATE,0.78,0.69,0.93,0.84,0.84,29.23,211,145768,122788.91
2026-06-03,2026-06-02T00:00:00,LRENR131W4,BRLREN3R0O63,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT152,BRBBDC3T0FP1,EQUITY PUT,EQUITY-DERIVATE,0.52,0.48,0.52,0.48,0.48,-2.04,3,5300,2549
2026-06-03,2026-06-02T00:00:00,BOVAS175W2,BRBOVA9S15R9,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS115W2,BRRADL3S0DQ4,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR136W4,BRLREN3R0OC3,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,IGTIF293,BRIGTI9F0490,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS175W4,BRBOVA9S1644,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG185,BRBOVA9G10E3,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR141W4,BRLREN3R0NY9,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT153,BRBBDC3T0FX5,EQUITY PUT,EQUITY-DERIVATE,0.62,0.59,0.62,0.6,0.59,-7.81,2,200,121
2026-06-03,2026-06-02T00:00:00,BOVAS176W2,BRBOVA9S15S7,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS120W2,BRRADL3S0EG3,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR146W4,BRLREN3R0O30,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,IGTIG290,BRIGTI9G04M8,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS176W4,BRBOVA9S15W9,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG186,BRBOVA9G12A7,EQUITY CALL,EQUITY-DERIVATE,0.54,0.52,0.68,0.63,0.63,28.57,198,107851,68689.41
2026-06-03,2026-06-02T00:00:00,LRENR151W4,BRLREN3R0NP7,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT157,BRBBDC3T0G63,EQUITY PUT,EQUITY-DERIVATE,0.7,0.7,0.7,0.7,0.7,-6.66,2,5000,3500
2026-06-03,2026-06-02T00:00:00,BOVAS177W2,BRBOVA9S1735,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS125W2,BRRADL3S0DS0,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR156W4,BRLREN3R0OB5,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF162,BRSLCE3F0409,EQUITY CALL,EQUITY-DERIVATE,0.04,0.04,0.04,0.04,0.04,-73.33,1,500,20
2026-06-03,2026-06-02T00:00:00,BOVAS177W4,BRBOVA9S17G8,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG187,BRBOVA9G10D5,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR161W4,BRLREN3R0NU7,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT16,BRBBDC3T0FW7,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS178W2,BRBOVA9S16F2,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS130W2,BRRADL3S0E28,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR166W4,BRLREN3R0NW3,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF167,BRSLCE3F04B0,EQUITY CALL,EQUITY-DERIVATE,0.04,0.03,0.04,0.03,0.03,-25,2,3900,152
2026-06-03,2026-06-02T00:00:00,BOVAS178W4,BRBOVA9S16U1,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG188,BRBOVA9G1598,EQUITY CALL,EQUITY-DERIVATE,0.47,0.45,0.58,0.51,0.52,15.55,74,127411,65883.57
2026-06-03,2026-06-02T00:00:00,LRENR171W4,BRLREN3R0O22,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT163,BRBBDC3T0G06,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS179W2,BRBOVA9S1677,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS135W2,BRRADL3S0ED0,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR176W4,BRLREN3R0NM4,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF172,BRSLCE3F03Z1,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS179W4,BRBOVA9S1727,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG189,BRBOVA9G1564,EQUITY CALL,EQUITY-DERIVATE,0.41,0.41,0.51,0.45,0.45,18.42,24,69405,31897.58
2026-06-03,2026-06-02T00:00:00,LRENR181W4,BRLREN3R0NS1,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT17,BRBBDC3T0FM8,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS180W2,BRBOVA9S1750,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS140W2,BRRADL3S0DZ5,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR186W4,BRLREN3R0O14,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF177,BRSLCE3F0425,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS180W4,BRBOVA9S15Q1,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG190,BRBOVA9G10F0,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR191W4,BRLREN3R0NL6,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT173,BRBBDC3T0G30,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS181W2,BRBOVA9S16H8,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS145W2,BRRADL3S0DT8,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR196W4,BRLREN3R0O48,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF180,BRSLCE3F02R0,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS181W4,BRBOVA9S16G0,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG191,BRBOVA9G1580,EQUITY CALL,EQUITY-DERIVATE,0.31,0.31,0.37,0.35,0.36,24.13,98,77632,27629.97
2026-06-03,2026-06-02T00:00:00,LRENR201W4,BRLREN3R0NJ0,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT182,BRBBDC3T0FV9,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS182W2,BRBOVA9S17B9,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS150W2,BRRADL3S0E51,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR206W4,BRLREN3R0NR3,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF182,BRSLCE3F0508,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS182W4,BRBOVA9S1685,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG192,BRBOVA9G12R1,EQUITY CALL,EQUITY-DERIVATE,0.28,0.25,0.45,0.3,0.29,11.53,72,33281,10152.48
2026-06-03,2026-06-02T00:00:00,LRENR211W4,BRLREN3R0NQ5,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT200,BRBBDC3T0FL0,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS183W2,BRBOVA9S16M8,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS155W2,BRRADL3S0EA6,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR216W4,BRLREN3R0NT9,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF187,BRSLCE3F0557,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS183W4,BRBOVA9S16S5,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG193,BRBOVA9G14Q9,EQUITY CALL,EQUITY-DERIVATE,0.24,0.24,0.26,0.24,0.26,18.18,8,13431,3237.49
2026-06-03,2026-06-02T00:00:00,LRENR221W4,BRLREN3R0NX1,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT215,BRBBDC3T0FJ4,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS184W2,BRBOVA9S17I4,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS160W2,BRRADL3S0DW2,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,LRENR916W4,BRLREN3R0O55,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF192,BRSLCE3F04L9,EQUITY CALL,EQUITY-DERIVATE,0.01,0.01,0.01,0.01,0.01,-50,1,1000,10
2026-06-03,2026-06-02T00:00:00,BOVAS184W4,BRBOVA9S16E5,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG194,BRBOVA9G1267,EQUITY CALL,EQUITY-DERIVATE,0.23,0.21,0.24,0.22,0.21,0,73,20923,4807.02
2026-06-03,2026-06-02T00:00:00,LRENR936W4,BRLREN3R0O97,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT949,BRBBDC3T0GL8,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS185W2,BRBOVA9S1776,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS165W2,BRRADL3S0E36,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BPACA761,BRBPAC9A0F76,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF197,BRSLCE3F04E4,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS185W4,BRBOVA9S16N6,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG195,BRBOVA9G12J8,EQUITY CALL,EQUITY-DERIVATE,0.18,0.17,0.33,0.19,0.33,94.11,39,50587,10011.41
2026-06-03,2026-06-02T00:00:00,BPACC525,BRBPAC9C0EN8,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCT969,BRBBDC3T0G97,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS186W2,BRBOVA9S16P1,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS170W2,BRRADL3S0EE8,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BPACD495,BRBPAC9D0G12,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF202,BRSLCE3F04S4,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS186W4,BRBOVA9S15Z2,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG196,BRBOVA9G1556,EQUITY CALL,EQUITY-DERIVATE,0.17,0.17,0.17,0.17,0.17,6.25,4,2520,428.4
2026-06-03,2026-06-02T00:00:00,BPACE497,BRBPAC9E0GB6,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCU1,BRBBDC3U0FK9,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS187W2,BRBOVA9S16K2,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS175W2,BRRADL3S0E44,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BPACH501W1,BRBPAC9H0IL8,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF207,BRSLCE3F0532,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS187W4,BRBOVA9S17A1,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAG197,BRBOVA9G12T7,EQUITY CALL,EQUITY-DERIVATE,0.13,0.13,0.16,0.15,0.16,14.28,4,1900,288
2026-06-03,2026-06-02T00:00:00,BPACH506W1,BRBPAC9H0IA1,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BBDCU100,BRBBDC3U0DT5,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BOVAS188W2,BRBOVA9S17D5,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,RADLS180W2,BRRADL3S0DV4,EQUITY PUT,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,BPACH511W1,BRBPAC9H0I52,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
2026-06-03,2026-06-02T00:00:00,SLCEF212,BRSLCE3F0581,EQUITY CALL,EQUITY-DERIVATE,,,,,,,,,
