data_captura,tabela_origem,data_referencia,curva,prazo_dias,taxa,base
2026-06-04,DerivativesMarketSwapRates,2026-06-03,DI1,30,13.65,252
2026-06-04,DerivativesMarketSwapRates,2026-06-03,DI1,360,13.12,252
2026-06-05,DerivativesMarketSwapRates,2026-06-04,DI1,30,13.65,252
2026-06-05,DerivativesMarketSwapRates,2026-06-04,DI1,360,13.12,252
2026-06-06,DerivativesMarketSwapRates,2026-06-05,DI1,30,13.65,252
2026-06-06,DerivativesMarketSwapRates,2026-06-05,DI1,360,13.12,252
2026-06-08,DerivativesMarketSwapRates,2026-06-05,DI1,30,13.65,252
2026-06-08,DerivativesMarketSwapRates,2026-06-05,DI1,360,13.12,252
2026-06-09,DerivativesMarketSwapRates,2026-06-08,DI1,30,13.65,252
2026-06-09,DerivativesMarketSwapRates,2026-06-08,DI1,360,13.12,252
2026-06-10,DerivativesMarketSwapRates,2026-06-09,DI1,30,13.65,252
2026-06-10,DerivativesMarketSwapRates,2026-06-09,DI1,360,13.12,252
2026-06-11,DerivativesMarketSwapRates,2026-06-10,DI1,30,13.65,252
2026-06-11,DerivativesMarketSwapRates,2026-06-10,DI1,360,13.12,252
2026-06-12,DerivativesMarketSwapRates,2026-06-11,DI1,30,13.65,252
2026-06-12,DerivativesMarketSwapRates,2026-06-11,DI1,360,13.12,252
2026-06-13,DerivativesMarketSwapRates,2026-06-12,DI1,30,13.65,252
2026-06-13,DerivativesMarketSwapRates,2026-06-12,DI1,360,13.12,252
2026-06-15,DerivativesMarketSwapRates,2026-06-12,DI1,30,13.65,252
2026-06-15,DerivativesMarketSwapRates,2026-06-12,DI1,360,13.12,252
2026-06-16,DerivativesMarketSwapRates,2026-06-15,DI1,30,13.65,252
2026-06-16,DerivativesMarketSwapRates,2026-06-15,DI1,360,13.12,252
2026-06-17,DerivativesMarketSwapRates,2026-06-16,DI1,30,13.65,252
2026-06-17,DerivativesMarketSwapRates,2026-06-16,DI1,360,13.12,252
2026-06-18,DerivativesMarketSwapRates,2026-06-17,DI1,30,13.65,252
2026-06-18,DerivativesMarketSwapRates,2026-06-17,DI1,360,13.12,252
2026-06-19,DerivativesMarketSwapRates,2026-06-18,DI1,30,13.65,252
2026-06-19,DerivativesMarketSwapRates,2026-06-18,DI1,360,13.12,252
2026-06-20,DerivativesMarketSwapRates,2026-06-19,DI1,30,13.65,252
2026-06-20,DerivativesMarketSwapRates,2026-06-19,DI1,360,13.12,252
2026-06-22,DerivativesMarketSwapRates,2026-06-19,DI1,30,13.65,252
