data_captura,conjunto,arquivo_origem,approveddate,commonshares,companyname,issuingcompany,market,preferredshares,totalqtyshares,tradingname,typecapital,value,registro_hash
2026-06-01,b3_capital_social_empresas,,04/09/2025,0,21SHARES BITCOIN CORE ETP,CBTC,BOLSA,6.145.425.000,6.145.425.000,21SH BITCOIN,Homologado,"0,00",4ad092e8d67a5d44a1961ffc
2026-06-01,b3_capital_social_empresas,,15/07/2025,0,21SHARES CARDANO ETP,AADA,BOLSA,5.125.000,5.125.000,21SH CARDANO,Homologado,"0,00",e02bd4ec80baf55189e6a2cd
2026-06-01,b3_capital_social_empresas,,15/07/2025,0,21SHARES CRYPTO BASKET INDEX ETP,BASK,BOLSA,110.750.000,110.750.000,21SH BASKET,Homologado,"0,00",5926f1c300c77bafe9ffe1eb
2026-06-01,b3_capital_social_empresas,,15/07/2025,0,21SHARES ETHEREUM STAKING ETP,AETH,BOLSA,525.000,525.000,21SH ETHEREU,Homologado,"0,00",dc0502b625bff0e2b960d087
2026-06-01,b3_capital_social_empresas,,15/07/2025,0,21SHARES SOLANA STAKING ETP,SOLN,BOLSA,88.935.000,88.935.000,21SH SOLANA,Homologado,"0,00",3bed40581a111b2f561a304d
2026-06-01,b3_capital_social_empresas,,15/07/2025,0,21SHARES XRP ETP,AXRP,BOLSA,54.000.000,54.000.000,21SH XRP ETP,Homologado,"0,00",1da821263fe57005f1b14498
2026-06-01,b3_capital_social_empresas,,20/02/2026,289.505.351,524 PARTICIPACOES S.A.,QVQP,BOLSA,0,289.505.351,524 PARTICIP,Homologado,"1.415.904,66",074f14710527676f2914c3a3
2026-06-01,b3_capital_social_empresas,,29/03/2022,0,ABRDN PHYSICAL GOLD SHARES ETF,ABGD,BOLSA,297.200.000,297.200.000,ABDEN GOLD,Homologado,"0,00",33254c708dbbea35f771ade1
2026-06-01,b3_capital_social_empresas,,22/04/2025,0,ABRDN PHYSICAL PRECIOUS METALS BASKET SHARES ETF,G1TR,BOLSA,143.850.000,143.850.000,ABRDN PMETAL,Homologado,"0,00",230b916576e0d1fdf73f5c99
2026-06-01,b3_capital_social_empresas,,29/03/2022,0,ABRDN PHYSICAL SILVER SHARES ETF,SIVR,BOLSA,149.400.000,149.400.000,ABDEN SILV,Homologado,"0,00",85a7d45d9edc9a844b028629
2026-06-01,b3_capital_social_empresas,,11/04/2024,62.120.196,AERIS IND. E COM. DE EQUIP. GERACAO DE ENERGIA S/A,AERI,NOVO MERCADO,0,62.120.196,AERIS,Homologado,"911.975.004,90",305637a6edb585312df052ea
2026-06-01,b3_capital_social_empresas,,07/04/2017,63.084.700,AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A,AFLT,BOLSA,0,63.084.700,AFLUENTE T,Homologado,"33.084.700,00",e626af60b60e6b4541d9ed4e
2026-06-01,b3_capital_social_empresas,,16/07/2008,0,AGRESTE INDL DE RAFIA S.A. - AGIR,AGIR,FINOR,2.400.000,2.400.000,AGIR,Homologado,"1,00",12eb923fd73e3574ea007ad9
2026-06-01,b3_capital_social_empresas,,17/06/2025,0,AGRO MECANIZAÇÃO S/A,A9MC,BOLSA,1,1,AGRO MECZ,Homologado,"1,00",ebd356b6bb88f7ec317acb69
2026-06-01,b3_capital_social_empresas,,24/04/2026,18.969.571,AGROGALAXY PARTICIPAÇÕES S.A.,AGXY,NOVO MERCADO,0,18.969.571,AGROGALAXY,Homologado,"1.031.131.135,73",d74025faadf2209099adb532
2026-06-01,b3_capital_social_empresas,,17/09/2025,0,AGROINDUSTRIAL E PASTORIL NATIVA S/A,AIPN,BOLSA,1,1,AGRO NATIVA,Homologado,"1,00",474fb635966e67cccdf7a4bc
2026-06-01,b3_capital_social_empresas,,11/12/2024,1,AGROINDUSTRIAL ITAPIRANGA S/A,AITP,BOLSA,0,1,AGROITAPIRAN,Homologado,"1,00",385b9a9ae9c8a43a1f87aeca
