data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct
2026-06-03,IBOV,Ibovespa,ALOS3,ALLOS,ON      NM,478558715,0.547
2026-06-03,IBOV,Ibovespa,ABEV3,AMBEV S/A,ON,4273841357,2.909
2026-06-03,IBOV,Ibovespa,ASAI3,ASSAI,ON      NM,1338623499,0.501
2026-06-03,IBOV,Ibovespa,AURE3,AUREN,ON      NM,317799925,0.161
2026-06-03,IBOV,Ibovespa,AXIA3,AXIA ENERGIA,ON      N1,1863816444,4.038
2026-06-03,IBOV,Ibovespa,AXIA6,AXIA ENERGIA,PNB     N1,266311915,0.631
2026-06-03,IBOV,Ibovespa,AZZA3,AZZAS 2154,ON  ATZ NM,109571260,0.086
2026-06-03,IBOV,Ibovespa,B3SA3,B3,ON      NM,4997059816,3.366
2026-06-03,IBOV,Ibovespa,BBSE3,BBSEGURIDADE,ON      NM,616248544,0.896
2026-06-03,IBOV,Ibovespa,BBDC3,BRADESCO,ON  EJ  N1,1464429403,0.935
2026-06-03,IBOV,Ibovespa,BBDC4,BRADESCO,PN  EJ  N1,5100889966,3.746
2026-06-03,IBOV,Ibovespa,BRAP4,BRADESPAR,PN      N1,250914708,0.245
2026-06-03,IBOV,Ibovespa,BBAS3,BRASIL,ON  EJ  NM,2842496541,2.339
2026-06-03,IBOV,Ibovespa,BRKM5,BRASKEM,PNA     N1,265709734,0.110
2026-06-03,IBOV,Ibovespa,BRAV3,BRAVA,ON      NM,462883017,0.394
2026-06-03,IBOV,Ibovespa,BPAC11,BTGP BANCO,UNT     N2,1194624560,2.632
2026-06-03,IBOV,Ibovespa,CXSE3,CAIXA SEGURI,ON      NM,600000000,0.441
2026-06-03,IBOV,Ibovespa,CEAB3,CEA MODAS,ON      NM,204964309,0.097
2026-06-03,IBOV,Ibovespa,CMIG4,CEMIG,PN      N1,1904057894,0.867
2026-06-03,IBOV,Ibovespa,COGN3,COGNA ON,ON      NM,1915914094,0.197
2026-06-03,IBOV,Ibovespa,CSMG3,COPASA,ON      NM,188467895,0.413
2026-06-03,IBOV,Ibovespa,CPLE3,COPEL,ON      NM,2969406694,1.800
2026-06-03,IBOV,Ibovespa,CSAN3,COSAN,ON  ATZ NM,2242671999,0.360
2026-06-03,IBOV,Ibovespa,CPFE3,CPFL ENERGIA,ON      NM,187732538,0.338
2026-06-03,IBOV,Ibovespa,CMIN3,CSNMINERACAO,ON      N2,1646519336,0.326
2026-06-03,IBOV,Ibovespa,CURY3,CURY S/A,ON      NM,160988231,0.209
2026-06-03,IBOV,Ibovespa,CYRE3,CYRELA REALT,ON      NM,281609283,0.260
2026-06-03,IBOV,Ibovespa,DIRR3,DIRECIONAL,ON      NM,327091595,0.181
2026-06-03,IBOV,Ibovespa,EMBJ3,EMBRAER,ON      NM,711833141,2.119
2026-06-03,IBOV,Ibovespa,ENGI11,ENERGISA,UNT     N2,325503046,0.654
