data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-03,IFNC,Índice Financeiro,ABCB4,ABC BRASIL,PN      N2,76369069,0.426,,
2026-06-03,IFNC,Índice Financeiro,B3SA3,B3,ON      NM,4997059816,18.544,,
2026-06-03,IFNC,Índice Financeiro,BRSR6,BANRISUL,PNB     N1,202536440,0.680,,
2026-06-03,IFNC,Índice Financeiro,BBSE3,BBSEGURIDADE,ON      NM,616248544,4.935,,
2026-06-03,IFNC,Índice Financeiro,BRBI11,BR PARTNERS,UNT     N2,47238057,0.169,,
2026-06-03,IFNC,Índice Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1130938083,3.978,,
2026-06-03,IFNC,Índice Financeiro,BBDC4,BRADESCO,PN  EJ  N1,3939275399,15.938,,
2026-06-03,IFNC,Índice Financeiro,BBAS3,BRASIL,ON  EJ  NM,2842496541,12.887,,
2026-06-03,IFNC,Índice Financeiro,BPAC11,BTGP BANCO,UNT     N2,1194624560,14.501,,
2026-06-03,IFNC,Índice Financeiro,CXSE3,CAIXA SEGURI,ON      NM,600000000,2.429,,
2026-06-03,IFNC,Índice Financeiro,IRBR3,IRBBRASIL RE,ON  EJ  NM,81534304,0.960,,
2026-06-03,IFNC,Índice Financeiro,ITUB3,ITAUUNIBANCO,ON  EJ  N1,174982153,1.601,,
2026-06-03,IFNC,Índice Financeiro,ITUB4,ITAUUNIBANCO,PN  EJ  N1,2052266378,18.506,,
2026-06-03,IFNC,Índice Financeiro,PINE4,PINE,PN      N2,70606588,0.212,,
2026-06-03,IFNC,Índice Financeiro,PSSA3,PORTO SEGURO,ON      NM,178825403,1.987,,
2026-06-03,IFNC,Índice Financeiro,SANB11,SANTANDER BR,UNT,360347199,2.247,,
2026-06-04,IFNC,Índice Financeiro,ABCB4,ABC BRASIL,PN      N2,76369069,0.425,,
2026-06-04,IFNC,Índice Financeiro,B3SA3,B3,ON      NM,4997059816,18.190,,
2026-06-04,IFNC,Índice Financeiro,BRSR6,BANRISUL,PNB     N1,202536440,0.673,,
2026-06-04,IFNC,Índice Financeiro,BBSE3,BBSEGURIDADE,ON      NM,616248544,5.065,,
2026-06-04,IFNC,Índice Financeiro,BRBI11,BR PARTNERS,UNT     N2,47238057,0.169,,
2026-06-04,IFNC,Índice Financeiro,BBDC3,BRADESCO,ON  EJ  N1,1130938083,4.008,,
2026-06-04,IFNC,Índice Financeiro,BBDC4,BRADESCO,PN  EJ  N1,3939275399,16.049,,
2026-06-04,IFNC,Índice Financeiro,BBAS3,BRASIL,ON  EJ  NM,2842496541,13.021,,
2026-06-04,IFNC,Índice Financeiro,BPAC11,BTGP BANCO,UNT     N2,1194624560,14.208,,
2026-06-04,IFNC,Índice Financeiro,CXSE3,CAIXA SEGURI,ON      NM,600000000,2.456,,
2026-06-04,IFNC,Índice Financeiro,IRBR3,IRBBRASIL RE,ON  EJ  NM,81534304,0.973,,
2026-06-04,IFNC,Índice Financeiro,ITUB3,ITAUUNIBANCO,ON  EJ  N1,174982153,1.638,,
2026-06-04,IFNC,Índice Financeiro,ITUB4,ITAUUNIBANCO,PN  EJ  N1,2052266378,18.638,,
2026-06-04,IFNC,Índice Financeiro,PINE4,PINE,PN      N2,70606588,0.209,,
