data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-03,ISEE,ISEE,TTEN3,3TENTOS,ON      NM,196.230.382,"0,364",,
2026-06-03,ISEE,ISEE,ALOS3,ALLOS,ON      NM,694.638.242,"2,358",,
2026-06-03,ISEE,ISEE,ASAI3,ASSAI,ON      NM,2.323.838.173,"2,584",,
2026-06-03,ISEE,ISEE,AURE3,AUREN,ON      NM,551.658.995,"0,831",,
2026-06-03,ISEE,ISEE,AXIA3,AXIA ENERGIA,ON      N1,363.868.018,"2,341",,
2026-06-03,ISEE,ISEE,AZZA3,AZZAS 2154,ON  ATZ NM,190.187.736,"0,444",,
2026-06-03,ISEE,ISEE,B3SA3,B3,ON      NM,1.323.509.106,"2,647",,
2026-06-03,ISEE,ISEE,BBDC4,BRADESCO,PN  EJ  N1,1.328.005.438,"2,896",,
2026-06-03,ISEE,ISEE,SAUD3,BRADSAUDE,ON      NM,437.006.354,"0,712",,
2026-06-03,ISEE,ISEE,BBAS3,BRASIL,ON  EJ  NM,1.132.348.436,"2,767",,
2026-06-03,ISEE,ISEE,BRKM5,BRASKEM,PNA     N1,461.210.215,"0,567",,
2026-06-03,ISEE,ISEE,BPAC11,BTGP BANCO,UNT     N2,371.521.227,"2,430",,
2026-06-03,ISEE,ISEE,CBAV3,CBA,ON      NM,354.870.089,"0,470",,
2026-06-03,ISEE,ISEE,CEAB3,CEA MODAS,ON      NM,355.805.805,"0,501",,
2026-06-03,ISEE,ISEE,CMIG4,CEMIG,PN      N1,1.918.066.460,"2,592",,
2026-06-03,ISEE,ISEE,COGN3,COGNA ON,ON      NM,3.325.780.141,"1,017",,
2026-06-03,ISEE,ISEE,CSMG3,COPASA,ON      NM,327.174.776,"2,128",,
2026-06-03,ISEE,ISEE,CPLE3,COPEL,ON      NM,1.571.935.612,"2,829",,
2026-06-03,ISEE,ISEE,CSAN3,COSAN,ON  ATZ NM,3.893.161.614,"1,856",,
2026-06-03,ISEE,ISEE,CPFE3,CPFL ENERGIA,ON      NM,325.902.232,"1,742",,
2026-06-03,ISEE,ISEE,CYRE3,CYRELA REALT,ON      NM,488.855.319,"1,342",,
2026-06-03,ISEE,ISEE,DXCO3,DEXCO,ON      NM,584.594.471,"0,342",,
2026-06-03,ISEE,ISEE,ECOR3,ECORODOVIAS,ON      NM,570.975.854,"0,522",,
2026-06-03,ISEE,ISEE,ENEV3,ENEVA,ON      NM,796.582.660,"2,481",,
2026-06-03,ISEE,ISEE,EGIE3,ENGIE BRASIL,ON      NM,620.276.240,"2,586",,
2026-06-03,ISEE,ISEE,EQTL3,EQUATORIAL,ON  ATZ NM,550.431.147,"2,642",,
2026-06-03,ISEE,ISEE,FLRY3,FLEURY,ON      NM,776.232.011,"1,462",,
2026-06-03,ISEE,ISEE,HBSA3,HIDROVIAS,ON      NM,943.420.596,"0,366",,
2026-06-03,ISEE,ISEE,IGTI11,IGUATEMI S.A,UNT     N1,357.242.057,"1,128",,
2026-06-03,ISEE,ISEE,MYPK3,IOCHP-MAXION,ON      NM,240.711.044,"0,279",,
2026-06-03,ISEE,ISEE,RANI3,IRANI,ON      NM,174.353.893,"0,168",,
2026-06-03,ISEE,ISEE,ISAE4,ISA ENERGIA,PN      N1,721.420.355,"2,437",,
2026-06-03,ISEE,ISEE,ITSA4,ITAUSA,PN  EJ  N1,1.798.590.837,"2,850",,
2026-06-03,ISEE,ISEE,ITUB4,ITAUUNIBANCO,PN  EJ  N1,587.397.066,"2,855",,
2026-06-03,ISEE,ISEE,JSLG3,JSL,ON      NM,146.050.921,"0,111",,
