data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-03,SMLL,Small Cap,TTEN3,3TENTOS,ON      NM,113066386,0.504,,
2026-06-03,SMLL,Small Cap,ABCB4,ABC BRASIL,PN      N2,76369069,0.553,,
2026-06-03,SMLL,Small Cap,ALOS3,ALLOS,ON      NM,478558715,3.905,,
2026-06-03,SMLL,Small Cap,ALPA4,ALPARGATAS,PN      N1,128924117,0.464,,
2026-06-03,SMLL,Small Cap,ALUP11,ALUPAR,UNT     N2,157537587,1.530,,
2026-06-03,SMLL,Small Cap,ANIM3,ANIMA,ON      NM,256720485,0.241,,
2026-06-03,SMLL,Small Cap,ARML3,ARMAC,ON      NM,172086226,0.178,,
2026-06-03,SMLL,Small Cap,ASAI3,ASSAI,ON      NM,1338623499,3.578,,
2026-06-03,SMLL,Small Cap,AURE3,AUREN,ON      NM,317799925,1.151,,
2026-06-03,SMLL,Small Cap,AZZA3,AZZAS 2154,ON  ATZ NM,109571260,0.615,,
2026-06-03,SMLL,Small Cap,BRSR6,BANRISUL,PNB     N1,202536440,0.880,,
2026-06-03,SMLL,Small Cap,BMOB3,BEMOBI TECH,ON      NM,79319310,0.581,,
2026-06-03,SMLL,Small Cap,BLAU3,BLAU,ON      NM,38584960,0.120,,
2026-06-03,SMLL,Small Cap,SOJA3,BOA SAFRA,ON      NM,58542883,0.111,,
2026-06-03,SMLL,Small Cap,BRBI11,BR PARTNERS,UNT     N2,47238057,0.218,,
2026-06-03,SMLL,Small Cap,BRAP4,BRADESPAR,PN      N1,250914708,1.750,,
2026-06-03,SMLL,Small Cap,SAUD3,BRADSAUDE,ON      NM,251735971,0.987,,
2026-06-03,SMLL,Small Cap,BRKM5,BRASKEM,PNA     N1,265709734,0.786,,
2026-06-03,SMLL,Small Cap,BRAV3,BRAVA,ON      NM,462883017,2.812,,
2026-06-03,SMLL,Small Cap,CAML3,CAMIL,ON  ED  NM,96218424,0.152,,
2026-06-03,SMLL,Small Cap,BHIA3,CASAS BAHIA,ON  ATZ NM,143421097,0.055,,
2026-06-03,SMLL,Small Cap,CBAV3,CBA,ON      NM,204441277,0.651,,
2026-06-03,SMLL,Small Cap,CEAB3,CEA MODAS,ON      NM,204964309,0.694,,
2026-06-03,SMLL,Small Cap,COGN3,COGNA ON,ON      NM,1915914094,1.409,,
2026-06-03,SMLL,Small Cap,CSMG3,COPASA,ON      NM,188467895,2.947,,
2026-06-03,SMLL,Small Cap,CSAN3,COSAN,ON  ATZ NM,2242671999,2.570,,
2026-06-03,SMLL,Small Cap,CURY3,CURY S/A,ON      NM,160988231,1.489,,
2026-06-03,SMLL,Small Cap,CVCB3,CVC BRASIL,ON      NM,408009727,0.186,,
2026-06-03,SMLL,Small Cap,CYRE3,CYRELA REALT,ON      NM,281609283,1.859,,
2026-06-03,SMLL,Small Cap,DASA3,DASA,ON      NM,177124938,0.161,,
2026-06-03,SMLL,Small Cap,DESK3,DESKTOP,ON      NM,34835856,0.186,,
2026-06-03,SMLL,Small Cap,DXCO3,DEXCO,ON      NM,336842147,0.473,,
2026-06-03,SMLL,Small Cap,PNVL3,DIMED,ON      NM,82405671,0.279,,
2026-06-03,SMLL,Small Cap,DIRR3,DIRECIONAL,ON      NM,327091595,1.290,,
2026-06-03,SMLL,Small Cap,ECOR3,ECORODOVIAS,ON      NM,328954615,0.723,,
2026-06-03,SMLL,Small Cap,EVEN3,EVEN,ON  ED  NM,185333384,0.307,,
2026-06-03,SMLL,Small Cap,EZTC3,EZTEC,ON      NM,121216090,0.470,,
2026-06-03,SMLL,Small Cap,FESA4,FERBASA,PN      N1,147407600,0.282,,
2026-06-03,SMLL,Small Cap,FLRY3,FLEURY,ON      NM,447150822,2.024,,
2026-06-03,SMLL,Small Cap,FRAS3,FRAS-LE,ON      N1,107111030,0.690,,
2026-06-03,SMLL,Small Cap,GFSA3,GAFISA,ON      NM,193423606,0.061,,
2026-06-03,SMLL,Small Cap,GOAU4,GERDAU MET,PN      N1,830837767,2.594,,
