data_captura,indice,indice_nome,codigo_ativo,nome_ativo,tipo_ativo,quantidade_teorica,participacao_pct,reducao_capital,segmento
2026-06-04,IBOV,Ibovespa,ALOS3,ALLOS,ON      NM,478558715,0.552,,
2026-06-04,IBOV,Ibovespa,ABEV3,AMBEV S/A,ON,4273841357,2.906,,
2026-06-04,IBOV,Ibovespa,ASAI3,ASSAI,ON      NM,1338623499,0.498,,
2026-06-04,IBOV,Ibovespa,AURE3,AUREN,ON      NM,317799925,0.161,,
2026-06-04,IBOV,Ibovespa,AXIA3,AXIA ENERGIA,ON      N1,1863816444,4.003,,
2026-06-04,IBOV,Ibovespa,AXIA6,AXIA ENERGIA,PNB     N1,266311915,0.626,,
2026-06-04,IBOV,Ibovespa,AZZA3,AZZAS 2154,ON  ATZ NM,109571260,0.081,,
2026-06-04,IBOV,Ibovespa,B3SA3,B3,ON      NM,4997059816,3.281,,
2026-06-04,IBOV,Ibovespa,BBSE3,BBSEGURIDADE,ON      NM,616248544,0.914,,
2026-06-04,IBOV,Ibovespa,BBDC3,BRADESCO,ON  EJ  N1,1464429403,0.936,,
2026-06-04,IBOV,Ibovespa,BBDC4,BRADESCO,PN  EJ  N1,5100889966,3.749,,
2026-06-04,IBOV,Ibovespa,BRAP4,BRADESPAR,PN      N1,250914708,0.242,,
2026-06-04,IBOV,Ibovespa,BBAS3,BRASIL,ON  EJ  NM,2842496541,2.349,,
2026-06-04,IBOV,Ibovespa,BRKM5,BRASKEM,PNA     N1,265709734,0.106,,
2026-06-04,IBOV,Ibovespa,BRAV3,BRAVA,ON      NM,462883017,0.406,,
2026-06-04,IBOV,Ibovespa,BPAC11,BTGP BANCO,UNT     N2,1194624560,2.564,,
2026-06-04,IBOV,Ibovespa,CXSE3,CAIXA SEGURI,ON      NM,600000000,0.443,,
2026-06-04,IBOV,Ibovespa,CEAB3,CEA MODAS,ON      NM,204964309,0.095,,
2026-06-04,IBOV,Ibovespa,CMIG4,CEMIG,PN      N1,1904057894,0.875,,
2026-06-04,IBOV,Ibovespa,COGN3,COGNA ON,ON      NM,1915914094,0.194,,
2026-06-04,IBOV,Ibovespa,CSMG3,COPASA,ON      NM,188467895,0.479,,
2026-06-04,IBOV,Ibovespa,CPLE3,COPEL,ON      NM,2969406694,1.810,,
2026-06-04,IBOV,Ibovespa,CSAN3,COSAN,ON  ATZ NM,2242671999,0.340,,
2026-06-04,IBOV,Ibovespa,CPFE3,CPFL ENERGIA,ON      NM,187732538,0.344,,
2026-06-04,IBOV,Ibovespa,CMIN3,CSNMINERACAO,ON      N2,1646519336,0.314,,
2026-06-04,IBOV,Ibovespa,CURY3,CURY S/A,ON      NM,160988231,0.200,,
2026-06-04,IBOV,Ibovespa,CYRE3,CYRELA REALT,ON      NM,281609283,0.249,,
2026-06-04,IBOV,Ibovespa,DIRR3,DIRECIONAL,ON      NM,327091595,0.172,,
2026-06-04,IBOV,Ibovespa,EMBJ3,EMBRAER,ON      NM,711833141,2.099,,
2026-06-04,IBOV,Ibovespa,ENGI11,ENERGISA,UNT     N2,325503046,0.649,,
2026-06-04,IBOV,Ibovespa,ENEV3,ENEVA,ON      NM,1913352180,1.962,,
2026-06-04,IBOV,Ibovespa,EGIE3,ENGIE BRASIL,ON      NM,357310487,0.515,,
2026-06-04,IBOV,Ibovespa,EQTL3,EQUATORIAL,ON      NM,1247728993,2.102,,
2026-06-04,IBOV,Ibovespa,FLRY3,FLEURY,ON      NM,447150822,0.278,,
2026-06-04,IBOV,Ibovespa,GGBR4,GERDAU,PN      N1,1258208269,1.285,,
2026-06-04,IBOV,Ibovespa,GOAU4,GERDAU MET,PN      N1,830837767,0.363,,
2026-06-04,IBOV,Ibovespa,HAPV3,HAPVIDA,ON      NM,271662290,0.129,,
2026-06-04,IBOV,Ibovespa,HYPE3,HYPERA,ON      NM,321083946,0.290,,
2026-06-04,IBOV,Ibovespa,IGTI11,IGUATEMI S.A,UNT     N1,205800982,0.215,,
2026-06-04,IBOV,Ibovespa,ISAE4,ISA ENERGIA,PN      N1,415568772,0.478,,
2026-06-04,IBOV,Ibovespa,ITSA4,ITAUSA,PN  EJ  N1,5970738360,3.183,,
2026-06-04,IBOV,Ibovespa,ITUB4,ITAUUNIBANCO,PN  EJ  N1,5050269111,8.275,,
2026-06-04,IBOV,Ibovespa,KLBN11,KLABIN S/A,UNT     N2,804572623,0.570,,
2026-06-04,IBOV,Ibovespa,RENT3,LOCALIZA,ON      NM,978479038,1.674,,
2026-06-04,IBOV,Ibovespa,LREN3,LOJAS RENNER,ON      NM,982593716,0.609,,
2026-06-04,IBOV,Ibovespa,MGLU3,MAGAZ LUIZA,ON      NM,373155063,0.084,,
2026-06-04,IBOV,Ibovespa,POMO4,MARCOPOLO,PN      N2,728266241,0.177,,
2026-06-04,IBOV,Ibovespa,MBRF3,MARFRIG,ON      NM,761175338,0.508,,
2026-06-04,IBOV,Ibovespa,BEEF3,MINERVA,ON      NM,454804863,0.069,,
2026-06-04,IBOV,Ibovespa,MOTV3,MOTIVA SA,ON      NM,1002196725,0.593,,
2026-06-04,IBOV,Ibovespa,MRVE3,MRV,ON      NM,374681353,0.091,,
2026-06-04,IBOV,Ibovespa,MULT3,MULTIPLAN,ON      N2,320022221,0.388,,
2026-06-04,IBOV,Ibovespa,NATU3,NATURA,ON      NM,838359453,0.348,,
2026-06-04,IBOV,Ibovespa,PETR3,PETROBRAS,ON  EJ  N2,2237877167,4.351,,
2026-06-04,IBOV,Ibovespa,PETR4,PETROBRAS,PN  EX  N2,4410960450,7.699,,
2026-06-04,IBOV,Ibovespa,RECV3,PETRORECSA,ON      NM,274624898,0.126,,
2026-06-04,IBOV,Ibovespa,PSSA3,PORTO SEGURO,ON      NM,178825403,0.364,,
2026-06-04,IBOV,Ibovespa,PRIO3,PRIO,ON      NM,757265605,2.006,,
2026-06-04,IBOV,Ibovespa,RADL3,RAIADROGASIL,ON      NM,1313915830,0.974,,
2026-06-04,IBOV,Ibovespa,RDOR3,REDE D OR,ON      NM,1091469308,1.529,,
2026-06-04,IBOV,Ibovespa,RAIL3,RUMO S.A.,ON      NM,1221155293,0.718,,
2026-06-04,IBOV,Ibovespa,SBSP3,SABESP,ON      NM,2870627990,3.308,,
2026-06-04,IBOV,Ibovespa,SANB11,SANTANDER BR,UNT,360347199,0.407,,
2026-06-04,IBOV,Ibovespa,CSNA3,SID NACIONAL,ON,727975012,0.206,,
2026-06-04,IBOV,Ibovespa,SLCE3,SLC AGRICOLA,ON      NM,220403658,0.140,,
2026-06-04,IBOV,Ibovespa,SMFT3,SMART FIT,ON  EJ  NM,556651316,0.428,,
2026-06-04,IBOV,Ibovespa,SUZB3,SUZANO S.A.,ON      NM,612918471,1.069,,
2026-06-04,IBOV,Ibovespa,TAEE11,TAESA,UNT     N2,218568234,0.359,,
2026-06-04,IBOV,Ibovespa,VIVT3,TELEF BRASIL,ON  EJ,707125712,1.010,,
2026-06-04,IBOV,Ibovespa,TIMS3,TIM,ON      NM,777451080,0.735,,
2026-06-04,IBOV,Ibovespa,TOTS3,TOTVS,ON      NM,533997411,0.759,,
2026-06-04,IBOV,Ibovespa,UGPA3,ULTRAPAR,ON      NM,1067870496,1.126,,
2026-06-04,IBOV,Ibovespa,USIM5,USIMINAS,PNA     N1,518256757,0.251,,
2026-06-04,IBOV,Ibovespa,VALE3,VALE,ON      NM,3535764048,12.237,,
2026-06-04,IBOV,Ibovespa,VAMO3,VAMOS,ON      NM,448052066,0.056,,
2026-06-04,IBOV,Ibovespa,VBBR3,VIBRA,ON      NM,1192004780,1.487,,
2026-06-04,IBOV,Ibovespa,VIVA3,VIVARA S.A.,ON      NM,123698325,0.107,,
2026-06-04,IBOV,Ibovespa,WEGE3,WEG,ON      NM,1485954732,2.627,,
2026-06-04,IBOV,Ibovespa,YDUQ3,YDUQS PART,ON      NM,261365845,0.098,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,TTEN3,3TENTOS,ON      NM,113066386,0.063,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,ABCB4,ABC BRASIL,PN      N2,76369069,0.069,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,ALOS3,ALLOS,ON      NM,478558715,0.495,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,ALPA4,ALPARGATAS,PN      N1,128924117,0.058,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,ALUP11,ALUPAR,UNT     N2,157537587,0.194,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,ABEV3,AMBEV S/A,ON,4273841357,2.605,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,ANIM3,ANIMA,ON      NM,256720485,0.030,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,ARML3,ARMAC,ON      NM,172086226,0.022,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,ASAI3,ASSAI,ON      NM,1338623499,0.446,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,AURE3,AUREN,ON      NM,317799925,0.144,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,AXIA3,AXIA ENERGIA,ON      N1,1863816444,3.587,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,AXIA6,AXIA ENERGIA,PNB     N1,266311915,0.561,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,AZZA3,AZZAS 2154,ON  ATZ NM,109571260,0.072,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,B3SA3,B3,ON      NM,4997059816,2.941,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BRSR6,BANRISUL,PNB     N1,202536440,0.109,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BBSE3,BBSEGURIDADE,ON      NM,616248544,0.819,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BMOB3,BEMOBI TECH,ON      NM,79319310,0.071,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BLAU3,BLAU,ON      NM,38584960,0.015,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,SOJA3,BOA SAFRA,ON      NM,58542883,0.014,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BRBI11,BR PARTNERS,UNT     N2,47238057,0.027,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BBDC3,BRADESCO,ON  EJ  N1,1464429403,0.839,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BBDC4,BRADESCO,PN  EJ  N1,5100889966,3.360,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BRAP4,BRADESPAR,PN      N1,250914708,0.217,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,SAUD3,BRADSAUDE,ON      NM,251735971,0.122,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BBAS3,BRASIL,ON  EJ  NM,2842496541,2.105,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BRKM5,BRASKEM,PNA     N1,265709734,0.095,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BRAV3,BRAVA,ON      NM,462883017,0.364,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BPAC11,BTGP BANCO,UNT     N2,1194624560,2.298,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CXSE3,CAIXA SEGURI,ON      NM,600000000,0.397,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CAML3,CAMIL,ON  ED  NM,96218424,0.018,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,BHIA3,CASAS BAHIA,ON  ATZ NM,143421097,0.007,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CBAV3,CBA,ON      NM,204441277,0.084,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CEAB3,CEA MODAS,ON      NM,204964309,0.085,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CMIG4,CEMIG,PN      N1,1904057894,0.784,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,COGN3,COGNA ON,ON      NM,1915914094,0.174,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CSMG3,COPASA,ON      NM,188467895,0.429,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CPLE3,COPEL,ON      NM,2969406694,1.623,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CSAN3,COSAN,ON  ATZ NM,2242671999,0.305,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CPFE3,CPFL ENERGIA,ON      NM,187732538,0.308,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CMIN3,CSNMINERACAO,ON      N2,1646519336,0.281,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CURY3,CURY S/A,ON      NM,160988231,0.180,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CVCB3,CVC BRASIL,ON      NM,408009727,0.023,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,CYRE3,CYRELA REALT,ON      NM,281609283,0.223,,
2026-06-04,IBRA,IBrA - Índice Brasil Amplo,DASA3,DASA,ON      NM,177124938,0.018,,
