data_captura,setor_economico,subsetor,segmento,nome_empresa,codigo,segmento_listagem
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",3R PETROLEUM,RRRP,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",COSAN,CSAN,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",DOMMO,DMMO,
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",ENAUTA PART,ENAT,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PET MANGUINH,RPMG,
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETROBRAS,PETR,N2
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETRORECSA,RECV,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",PETRORIO,PRIO,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",ULTRAPAR,UGPA,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis","Exploração, Refino e Distribuição",VIBRA,VBBR,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,LUPATECH,LUPA,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OCEANPACT,OPCT,NM
2026-06-03,"Petróleo, Gás e Biocombustíveis","Petróleo, Gás e Biocombustíveis",Equipamentos e Serviços,OSX BRASIL,OSXB,NM
2026-06-03,Materiais Básicos,Mineração,Minerais Metálicos,AURA 360,AURA,DR3
2026-06-03,Materiais Básicos,Mineração,Minerais Metálicos,BRADESPAR,BRAP,N1
2026-06-03,Materiais Básicos,Mineração,Minerais Metálicos,CBA,CBAV,NM
2026-06-03,Materiais Básicos,Mineração,Minerais Metálicos,CSNMINERACAO,CMIN,N2
2026-06-03,Materiais Básicos,Mineração,Minerais Metálicos,LITEL,LTEL,MB
2026-06-03,Materiais Básicos,Mineração,Minerais Metálicos,LITELA,LTLA,MB
2026-06-03,Materiais Básicos,Mineração,Minerais Metálicos,MMX MINER,MMXM,NM
2026-06-03,Materiais Básicos,Mineração,Minerais Metálicos,VALE,VALE,NM
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,FERBASA,FESA,N1
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,GERDAU,GGBR,N1
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,GERDAU MET,GOAU,N1
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,SID NACIONAL,CSNA,
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Siderurgia,USIMINAS,USIM,N1
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,MANGELS INDL,MGEL,
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,PANATLANTICA,PATI,
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Ferro e Aço,TEKNO,TKNO,
2026-06-03,Materiais Básicos,Siderurgia e Metalurgia,Artefatos de Cobre,PARANAPANEMA,PMAM,NM
2026-06-03,Materiais Básicos,Químicos,Petroquímicos,BRASKEM,BRKM,N1
2026-06-03,Materiais Básicos,Químicos,Petroquímicos,DEXXOS PAR,DEXP,N1
2026-06-03,Materiais Básicos,Químicos,Fertilizantes e Defensivos,FER HERINGER,FHER,NM
2026-06-03,Materiais Básicos,Químicos,Fertilizantes e Defensivos,NUTRIPLANT,NUTR,MA
2026-06-03,Materiais Básicos,Químicos,Fertilizantes e Defensivos,VITTIA,VITT,NM
2026-06-03,Materiais Básicos,Químicos,Químicos Diversos,CRISTAL,CRPG,
2026-06-03,Materiais Básicos,Químicos,Químicos Diversos,UNIPAR,UNIP,
2026-06-03,Materiais Básicos,Madeira e Papel,Madeira,DEXCO,DXCO,NM
2026-06-03,Materiais Básicos,Madeira e Papel,Madeira,EUCATEX,EUCA,N1
2026-06-03,Materiais Básicos,Madeira e Papel,Papel e Celulose,KLABIN S/A,KLBN,N2
2026-06-03,Materiais Básicos,Madeira e Papel,Papel e Celulose,MELHOR SP,MSPA,
2026-06-03,Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZANO HOLD,NEMO,
2026-06-03,Materiais Básicos,Madeira e Papel,Papel e Celulose,SUZANO S.A.,SUZB,NM
2026-06-03,Materiais Básicos,Embalagens,Embalagens,IRANI,RANI,NM
2026-06-03,Materiais Básicos,Embalagens,Embalagens,METAL IGUACU,MTIG,
2026-06-03,Materiais Básicos,Materiais Diversos,Materiais Diversos,SANSUY,SNSY,
2026-06-03,Bens Industriais,Construção e Engenharia,Produtos para Construção,ETERNIT,ETER,NM
2026-06-03,Bens Industriais,Construção e Engenharia,Produtos para Construção,HAGA S/A,HAGA,
2026-06-03,Bens Industriais,Construção e Engenharia,Produtos para Construção,PORTOBELLO,PTBL,NM
2026-06-03,Bens Industriais,Construção e Engenharia,Construção Pesada,AZEVEDO,AZEV,
2026-06-03,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,SONDOTECNICA,SOND,
2026-06-03,Bens Industriais,Construção e Engenharia,Engenharia Consultiva,TECNOSOLO,TCNO,
2026-06-03,Bens Industriais,Material de Transporte,Material Aeronáutico e de Defesa,EMBRAER,EMBR,NM
2026-06-03,Bens Industriais,Material de Transporte,Material Rodoviário,FRAS-LE,FRAS,N1
2026-06-03,Bens Industriais,Material de Transporte,Material Rodoviário,MARCOPOLO,POMO,N2
2026-06-03,Bens Industriais,Material de Transporte,Material Rodoviário,RANDON PART,RAPT,N1
2026-06-03,Bens Industriais,Material de Transporte,Material Rodoviário,RECRUSUL,RCSL,
2026-06-03,Bens Industriais,Material de Transporte,Material Rodoviário,RIOSULENSE,RSUL,
2026-06-03,Bens Industriais,Material de Transporte,Material Rodoviário,TUPY,TUPY,NM
2026-06-03,Bens Industriais,Material de Transporte,Material Rodoviário,WETZEL S/A,MWET,
2026-06-03,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",SCHULZ,SHUL,
2026-06-03,Bens Industriais,Máquinas e Equipamentos,"Motores, Compressores e Outros",WEG,WEGE,NM
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ACO ALTONA,EALT,
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,AERIS,AERI,NM
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,ARMAC,ARML,NM
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,BARDELLA,BDLL,
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,INEPAR,INEP,
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,KEPLER WEBER,KEPL,
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,METALFRIO,FRIO,NM
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,MILLS,MILS,NM
2026-06-03,Bens Industriais,Máquinas e Equipamentos,Máq. e Equip. Industriais,NORDON MET,NORD,
