data_captura,hora_captura,conjunto,arquivo_origem,issuingcompany_consulta,registro_hash
2026-06-01,13:37:15,b3_companhias_info,,BDAP,2b76b4ead26553207739692c
2026-06-01,13:37:15,b3_companhias_info,,FIXA,b41bde28a40fbc20c7992a85
2026-06-01,13:37:15,b3_companhias_info,,BOL5,adea66ed038903f1d0dc5b2b
2026-06-01,13:37:15,b3_companhias_info,,BPRE,404f3d491df9a49a3ec7e6aa
2026-06-01,13:37:15,b3_companhias_info,,BLFT,e77624c1c8751234cdbbf611
2026-06-01,13:37:15,b3_companhias_info,,BSCS,c967f2b2bab597d7b591d0d8
2026-06-01,13:37:15,b3_companhias_info,,PACC,d386a97d793a186b62e3cb41
2026-06-01,13:37:15,b3_companhias_info,,PACL,86430fb15354b582a19aa777
2026-06-01,13:37:15,b3_companhias_info,,PACG,cdff0d8e43f3de58ff3d01a4
2026-06-01,13:37:15,b3_companhias_info,,LTNB,661b17ad76478ac2e2e85450
2026-06-01,13:37:15,b3_companhias_info,,MARG,a7b721d13391e832ab64b617
2026-06-01,13:37:15,b3_companhias_info,,AUPO,2c2b649720d35d0b2def0102
2026-06-01,13:37:15,b3_companhias_info,,DEBB,afe4c017d4bb25400ff9b616
2026-06-01,13:37:15,b3_companhias_info,,SFIX,c367cb66d796e34670369ab7
2026-06-01,13:37:15,b3_companhias_info,,WEJR,37f4ad2d8660f65874a23c87
2026-06-01,13:37:15,b3_companhias_info,,AREA,090e0bda3b137e57e5fb9015
2026-06-01,13:37:15,b3_companhias_info,,MIDB,99917ec3539350323a8ebb53
2026-06-01,13:37:15,b3_companhias_info,,LFIN,3fc81c75ec931db0109026be
2026-06-01,13:37:15,b3_companhias_info,,PACB,74a6824b4c68ad87fc4324f9
2026-06-01,13:37:15,b3_companhias_info,,LLFT,96c54fa3cf8657519bd5ddb2
2026-06-01,13:37:15,b3_companhias_info,,AGRU,a2a2fc31ab3f2e8e87a7af35
2026-06-01,13:37:15,b3_companhias_info,,DGIV,0b83f2a9c3fa271a539f96a0
2026-06-01,13:37:15,b3_companhias_info,,ECOA,ddf72ab94592ca28702a41e8
2026-06-01,13:37:15,b3_companhias_info,,IMBB,18556d553ddcce6e67c8a5ac
2026-06-01,13:37:15,b3_companhias_info,,B5MB,5c20e01f911b33a0145da882
2026-06-01,13:37:15,b3_companhias_info,,GAFL,807d1bba7b4290f352e077b5
2026-06-01,13:37:15,b3_companhias_info,,GLFT,45a113b117d954a25eb5e11c
2026-06-01,13:37:15,b3_companhias_info,,POSB,2e4b4985a8c7c2a47432d3f5
2026-06-01,13:37:15,b3_companhias_info,,GICP,c8409079366891b7db963b94
2026-06-01,13:37:15,b3_companhias_info,,GPCA,7ff39c73c54231d5bd6d39e6
2026-06-01,13:37:15,b3_companhias_info,,LFTB,831ff1f42a1d59d2621ae2ca
2026-06-01,13:37:15,b3_companhias_info,,NTNS,f18a10d001070c525b2ca635
2026-06-01,13:37:15,b3_companhias_info,,LFTS,2a59a520936dfda65fa18b3b
2026-06-01,13:37:15,b3_companhias_info,,LFIX,2ac396cc9067f8230d7b6fad
2026-06-01,13:37:15,b3_companhias_info,,IMAB,1584e6a388345dff4bbe5f82
2026-06-01,13:37:15,b3_companhias_info,,B5P2,0258f3b1d628aef53d1b3691
2026-06-01,13:37:15,b3_companhias_info,,IB5M,ad2f9e07adbc89f1ae1e35f8
2026-06-01,13:37:15,b3_companhias_info,,IRFM,4f707aee1f21017096029c8b
2026-06-01,13:37:15,b3_companhias_info,,IDKA,4bc995dbefdcbaa37969f873
2026-06-01,13:37:15,b3_companhias_info,,TD60,b8d5507adf73d60033bf895f
2026-06-01,13:37:15,b3_companhias_info,,TD35,30744c392a81e1ee5b4f0dbe
2026-06-01,13:37:15,b3_companhias_info,,TD50,502625db6819dd33e7f31049
2026-06-01,13:37:15,b3_companhias_info,,T10R,bb43405fbdfcdc7e9718b23b
2026-06-01,13:37:15,b3_companhias_info,,5PRE,35f31bb9186019dd3330120e
2026-06-01,13:37:15,b3_companhias_info,,LFTI,2308af315fe30ab61e7c3c97
2026-06-01,13:37:15,b3_companhias_info,,MLCK,6d596c8fcf85b9029519d9e5
2026-06-01,13:37:15,b3_companhias_info,,NCDI,ae6627da86c32b0610b6f21c
2026-06-01,13:37:15,b3_companhias_info,,HYBR,afed33b40a6783a697d2640c
2026-06-01,13:37:15,b3_companhias_info,,HGBR,4640f966712dc7fda67f38ac
2026-06-01,13:37:15,b3_companhias_info,,NLFA,de23b70c4b041463cf7106a6
2026-06-01,13:37:15,b3_companhias_info,,OCTS,3ffa19c0ac9bad81740a1f7f
2026-06-01,13:37:15,b3_companhias_info,,RBRA,7f63ae12f51a1d538ac246dd
2026-06-01,13:37:15,b3_companhias_info,,OSEC,96d23bbb3d981a62da6f6278
2026-06-01,13:37:15,b3_companhias_info,,PHIP,32aa23285756966b1f6505cc
2026-06-01,13:37:15,b3_companhias_info,,GAIA,60baf379e3813adc69278d0c
2026-06-01,13:37:15,b3_companhias_info,,PLSC,44b3411f058d3aeb93766bf9
2026-06-01,13:37:15,b3_companhias_info,,GERU,eb36a110705cbf4136001937
2026-06-01,13:37:15,b3_companhias_info,,LFTX,ce8947beacabda8c8c68f1c0
2026-06-01,13:37:15,b3_companhias_info,,XB30,80a71655429c71663be7ee24
2026-06-01,13:37:15,b3_companhias_info,,XB35,1ee9ebf5fcb1d43af632890e
2026-06-01,13:37:15,b3_companhias_info,,XB45,9e30d7189e49f958cc4738b1
2026-06-01,13:37:15,b3_companhias_info,,XB50,bcae2c90d6a41c26135b3da1
2026-06-01,13:37:15,b3_companhias_info,,XB60,c248de45fd17a8f7cc44cb18
2026-06-01,13:37:15,b3_companhias_info,,PREX,2a2af7282c1cf184ecdd7c9c
2026-06-01,13:37:15,b3_companhias_info,,LTBX,5f1ee3aba21fcfb2e01e5a57
2026-06-01,13:37:15,b3_companhias_info,,APCS,892c6488d02cd5327c5f7259
2026-06-01,13:37:15,b3_companhias_info,,XXII,ad23a6e6641ef7f42e86abd3
2026-06-01,13:37:15,b3_companhias_info,,VERT,d8a551627cdabda3d42c62eb
2026-06-01,13:37:15,b3_companhias_info,,CBSC,ea0509066fe203c595edc192
