data_captura,tipo_fundo,codigo_fundo,nome_fundo,cnpj,cnpj_classe,administrador,gestor,classificacao,classificacao_anbima,situacao,patrimonio_liquido,data_patrimonio_liquido,data_encerramento,data_inicio,publico_alvo,forma_condominio,codigo_cvm,custodiante,auditor,isin_codigo_cfi,isin_situacao,isin_data_expiracao,isin_data_emissao,isin_exchange,isin_moeda,isin_codigo_categoria,isin_codigo_especie,id_b3
2026-06-27,FII,ADSH11,AD SHOPPING FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,63375304000153,,OLIVEIRA TRUST DTVM S.A.,CAPITANIA CAPITAL S.A.,,,Em Funcionamento Normal,,,,,,,,,,CICJRY,A,,,B3,BRL,C,ZZ,23336
2026-06-27,FII,AFHI11,AF INVEST CRI FUNDO DE INVESTIMENTO IMOBILIÁRIO RECEBÍVEIS IMOBILIÁRIOS RESPONSABILIDADE LIMITADA,36642293000158,,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,AF INVEST REAL ESTATE ADMINISTRAÇÃO DE RECURSOS LTDA,,,Em Funcionamento Normal,430040925.86,2025-04-30,,,,,,,,CICJRU,A,,,B3,BRL,C,ZZ,3784
2026-06-27,FII,AFHF11,AF INVEST REAL ESTATE MULTIESTRATÉGIA FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,60077386000161,,BANCO DAYCOVAL S.A.,AF INVEST REAL ESTATE ADMINISTRAÇÃO DE RECURSOS LTDA,,,Em Funcionamento Normal,,,,,,,,,,CICGRY,A,,,B3,BRL,C,ZZ,19003
2026-06-27,FII,ATWN11,AIRPORT TOWN FUNDO DE INVESTIMENTO IMOBILIARIO - FII,,,,,,,,,,,,,,,,,,,,,,,,,853
2026-06-27,FII,AJFI11,AJ MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,51472985000199,,XP INVESTIMENTOS CCTVM S.A.,CAPITANIA CAPITAL S.A.,,,Em Funcionamento Normal,384542682.67,2025-05-31,,,,,,,,CMXXXY,A,,,B3,BRL,C,ZZ,10318
2026-06-27,FII,ALZC11,ALIANZA CRÉDITO IMOBILIÁRIO FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,40011324000140,,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,ALIANZA GESTÃO DE RECURSOS LTDA,,,Em Funcionamento Normal,195840861.90,2025-03-31,,,,,,,,CICJRU,A,,,B3,BRL,C,ZZ,6354
2026-06-27,FII,MTOF11,ALIANZA MULTIOFFICES - FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,22862226000134,,OLIVEIRA TRUST DTVM S.A.,ALIANZA GESTÃO DE RECURSOS LTDA,,,Em Funcionamento Normal,133669743.78,2025-05-31,,,,,,,,CICJRY,A,,,B3,BRL,C,ZZ,3065
2026-06-27,FII,ALZR11,ALIANZA TRUST RENDA IMOBILIÁRIA - FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,28737771000185,,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,ALIANZA GESTÃO DE RECURSOS LTDA,,,Em Funcionamento Normal,1274128693.80,2025-04-30,,,,,,,,CMXXXS,A,,,B3,BRL,C,ZZ,870
2026-06-27,FII,AURB11,ALIANZA URBAN HUB RENDA FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,41076823000188,,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,ALIANZA GESTÃO DE RECURSOS LTDA,,,Em Funcionamento Normal,65408945.40,2025-04-30,,,,,,,,CICJRY,A,,,B3,BRL,C,ZZ,7293
2026-06-27,FII,APXM11,APEX MALLS FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,43010485000107,,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BRM CARBYNE GESTÃO DE RECURSOS LTDA.,,,Em Funcionamento Normal,349217182.13,2025-03-31,,,,,,,,CICJRU,A,,,B3,BRL,C,ZZ,8431
2026-06-27,FII,APXU11,APEX URB FUNDO DE INVESTIMENTO IMOBILIÁRIO RESPONSABILIDADE LIMITADA,52521137000195,,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,BRM CARBYNE GESTÃO DE RECURSOS LTDA.,,,Em Funcionamento Normal,8979090.11,2024-09-30,,,,,,,,CICJRU,A,,,B3,BRL,C,ZZ,10903
2026-06-27,FII,AIEC11,ARCH EDIFÍCIOS CORPORATIVOS FUNDO DE INVESTIMENTO IMOBILIÁRIO - RESPONSABILIDADE LIMITADA,35765826000126,,MAF DISTRIBUIDORA DE TITULOS E VALORES MOBILIARIOS S.A.,ARCH CAPITAL LTDA.,,,Em Funcionamento Normal,374698865.84,2025-05-31,,,,,,,,CICIRU,A,,,B3,BRL,C,ZZ,3236
