data_captura,conjunto,arquivo_origem,registro_hash,ano,day,indice,ratevalue1,ratevalue10,ratevalue11,ratevalue12,ratevalue2,ratevalue3,ratevalue4,ratevalue5,ratevalue6,ratevalue7,ratevalue8,ratevalue9
2026-06-03,b3_indices_precos_historicos,,102df708b75f83e8a6532683,2025,1,IBOV,,145517.35,,158611.01,,,131147.29,,,139549.43,132437.39,141283.01
2026-06-03,b3_indices_precos_historicos,,a1345b2f89bd074857ec8bd1,2025,2,IBOV,120125.39,143949.64,,161092.25,,,131190.34,135133.88,136786.65,139050.93,,140335.16
2026-06-03,b3_indices_precos_historicos,,366abeea8201dc3ed7215828,2025,3,IBOV,118532.68,144200.65,150454.24,161755.18,125970.46,,131140.65,,137546.26,140927.86,,139863.63
2026-06-03,b3_indices_precos_historicos,,8ba2588233dac58f86e5717c,2025,4,IBOV,,,150704.20,164455.61,125147.42,,127256.00,,137001.58,141263.56,132971.20,140993.25
2026-06-03,b3_indices_precos_historicos,,e2ec7a71b379a455e4935396,2025,5,IBOV,,,153294.44,157369.36,125534.07,123046.85,,133491.23,136236.37,,133151.30,142640.14
2026-06-03,b3_indices_precos_historicos,,5bacf42386d2c860269d395a,2025,6,IBOV,120021.52,143608.08,153338.63,,126224.74,123357.55,,133515.82,136102.10,,134537.62,
2026-06-03,b3_indices_precos_historicos,,adc46b1afa2a958ead1c3cca,2025,7,IBOV,121162.66,141356.43,154063.53,,124619.40,125034.63,125588.09,133397.52,,139489.70,136527.61,
2026-06-03,b3_indices_precos_historicos,,3c1364436b3b0d8fd278deb5,2025,8,IBOV,119624.51,142145.38,,158187.43,,,123931.89,136231.90,,139302.85,135913.25,141791.58
2026-06-03,b3_indices_precos_historicos,,940972c381ae6ed2a3f0eabb,2025,9,IBOV,119780.56,141708.19,,157981.13,,,127795.93,136511.88,135699.38,137480.79,,141618.29
2026-06-03,b3_indices_precos_historicos,,8367864865fb7010e2b162f4,2025,10,IBOV,118856.48,140680.34,155257.31,159074.97,125571.81,124519.38,126354.75,,136436.07,136743.26,,142348.70
2026-06-03,b3_indices_precos_historicos,,1018288f230c68fbfc58ec9e,2025,11,IBOV,,,157748.60,159189.10,126521.66,123507.35,127682.40,,137128.04,136187.31,135623.15,143150.84
2026-06-03,b3_indices_precos_historicos,,8e1915d4cf38058aede79366,2025,12,IBOV,,,157632.90,160766.37,124380.21,123863.50,,136563.18,137799.74,,137913.68,142271.58
2026-06-03,b3_indices_precos_historicos,,9dd9a545f1b1f3b1b47ecc35,2025,13,IBOV,119006.93,141783.36,157162.43,,124850.18,125637.11,,138963.11,137212.63,,136687.32,
2026-06-03,b3_indices_precos_historicos,,89af7620f4f36b43051d0db9,2025,14,IBOV,119298.67,141682.99,157738.69,,128218.59,128957.09,129453.91,138422.84,,135298.99,136355.78,
2026-06-03,b3_indices_precos_historicos,,451e7f9893de9cea9960d264,2025,15,IBOV,122650.20,142603.66,,162481.74,,,129245.39,139334.38,,135250.10,136340.77,143546.58
2026-06-03,b3_indices_precos_historicos,,83061af1d3af9c5e6e534403,2025,16,IBOV,121234.14,142200.02,,158577.88,,,128316.89,139187.39,139255.91,135510.99,,144061.74
2026-06-03,b3_indices_precos_historicos,,e7e9749ebaf85116eb8179c8,2025,17,IBOV,122350.38,143398.63,156992.93,157327.26,128552.13,130833.96,129650.03,,138840.02,135564.74,,145593.63
