data_captura,data_referencia,tipo_ativo,codigo,isin,limite_quantidade
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1AP34,BRA1APBDR001,12453000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1CR34,BRA1CRBDR003,3858000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1DC34,BRA1DCBDR003,3802000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1DI34,BRA1DIBDR000,367000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1DM34,BRA1DMBDR002,734000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1EE34,BRA1EEBDR007,731000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1EG34,BRA1EGBDR002,4498000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1EN34,BRA1ENBDR008,556000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1EP34,BRA1EPBDR003,694000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1ES34,BRA1ESBDR007,3647000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1FL34,BRA1FLBDR009,343000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1GI34,BRA1GIBDR003,651000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1GN34,BRA1GNBDR003,521000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1HR34,BRA1HRBDR002,2150000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1JG34,BRA1JGBDR001,204000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1KA34,BRA1KABDR002,5479000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1LB34,BRA1LBBDR008,14815000.0
2025-01-01,2025-06-01,Ações_BDRs_ETFs_Units,A1LG34,BRA1LGBDR007,764000.0
