data_captura,data_referencia,codigo_ativo_objeto,total_series,posicao_aberta_call,posicao_aberta_put,posicao_aberta_total,put_call_ratio,posicao_coberta,posicao_descoberta,posicao_trava,strike_max_oi_call,strike_max_oi_put
2026-09-13,2026-08-28,PETR,2471,471849482,477052700,948902182,1.011,27182968,632521705,289197509,36.67,36.67
2026-09-13,2026-08-28,BBAS,1384,408461600,328255600,736717200,0.8036,12343500,488843100,235530600,17.56,17.56
2026-09-13,2026-08-28,BOVA,1989,226065080,268432611,494497691,1.1874,425151,253921034,240151506,176.0,176.0
2026-09-13,2026-08-28,BBDC,1188,163969400,110952700,274922100,0.6767,39902800,135995200,99024100,16.54,16.53
2026-09-13,2026-08-28,VALE,1637,150190700,123029600,273220300,0.8192,8769167,158009033,106442100,80.39,78.39
2026-09-13,2026-08-28,ITUB,1314,149754100,117904932,267659032,0.7873,18288991,147089730,102280311,44.55,44.55
2026-09-13,2026-08-28,CSAN,648,86217800,58143100,144360900,0.6744,7121900,78516700,58722300,4.0,7.3
2026-09-13,2026-08-28,ITSA,508,76507707,56240540,132748247,0.7351,11177593,101041241,20529413,13.83,13.83
2026-09-13,2026-08-28,B3SA,707,72919200,57222500,130141700,0.7847,9251700,50059800,70830200,20.21,20.21
2026-09-13,2026-08-28,BEEF,443,66988900,54952600,121941500,0.8203,11379600,63704000,46857900,3.87,3.87
2026-09-13,2026-08-28,ABEV,421,60433300,43031000,103464300,0.712,6514700,59543100,37406500,16.55,16.55
2026-09-13,2026-08-28,IBOV,690,61451805,34345861,95797666,0.5589,0,26069154,69728512,200000.0,155000.0
2026-09-13,2026-08-28,MGLU,826,43620762,45717999,89338761,1.0481,2703300,47628941,39006520,11.05,4.25
2026-09-13,2026-08-28,COGN,477,46548291,42260586,88808877,0.9079,7960799,53575786,27272292,2.19,2.19
2026-09-13,2026-08-28,UGPA,248,37662800,35886800,73549600,0.9528,371600,67222900,5955100,27.5,27.5
2026-09-13,2026-08-28,AXIA,716,36601000,32285680,68886680,0.8821,2211000,42169240,24506440,56.0,56.0
2026-09-13,2026-08-28,WEGE,896,40625000,26540700,67165700,0.6533,2965600,36143600,28056500,56.94,39.87
2026-09-13,2026-08-28,SUZB,822,38099700,26243000,64342700,0.6888,1835000,39857900,22649800,53.63,41.88
