data_captura,data_referencia,total_empresas_termo,quantidade_contratos,quantidade_ativos,valor_contratos
2026-09-14,2026-09-04,327,37704,338217112,4769007284.69
2026-09-15,2026-09-08,329,37810,336052842,4767706885.82
2026-09-16,2026-09-09,331,37464,328569604,4701383143.37
2026-09-17,2026-09-10,331,37707,333671202,4754631185.61
2026-09-18,2026-09-11,335,37176,320752049,4678626251.93
2026-09-19,2026-09-18,333,33903,326202291,4909127110.93
2026-09-19,2026-09-17,336,34418,324692027,4865969916.3
2026-09-19,2026-09-16,336,35667,321762246,4710937174.39
2026-09-19,2026-09-15,336,36033,317804241,4649414647.86
2026-09-19,2026-09-14,335,37285,318540705,4640372198.98
