data_captura,data_referencia,empresa,pertence_ibov,pertence_ibrx100,valor_mercado_brl,valor_mercado_brl_anterior,variacao_brl_pct,valor_mercado_usd,valor_mercado_usd_anterior,variacao_usd_pct
2026-09-13,2026-08-31,PETROBRAS,SIM,SIM,619471308283.36,601454116849.46,3.0,119552128354.82,118459440420.98,0.92
2026-09-13,2026-08-31,ITAUUNIBANCO,SIM,SIM,455668680606.42,488391212831.63,-6.7,87939763896.56,96191127731.6,-8.58
2026-09-13,2026-08-31,VALE,SIM,SIM,345588586693.2,338619105882.56,2.06,66695342499.07,66692751242.31,0.0
2026-09-13,2026-08-31,AMBEV S/A,SIM,SIM,232734513281.67,252061001575.11,-7.67,44915569183.59,49644693355.74,-9.53
2026-09-13,2026-08-31,BTGP BANCO,SIM,SIM,212823057797.29,220953201233.93,-3.68,41072845800.0,43517854220.54,-5.62
2026-09-13,2026-08-31,WEG,SIM,SIM,210495497599.7,198113409505.6,6.25,40623648602.69,39019441338.03,4.11
2026-09-13,2026-08-31,BRADESCO,SIM,SIM,171362867783.7,182269336970.4,-5.98,33071419596.98,35898870850.73,-7.88
2026-09-13,2026-08-31,AXIA ENERGIA,SIM,SIM,156355797182.86,154969864214.85,0.89,30175196306.71,30522101159.05,-1.14
2026-09-13,2026-08-31,ITAUSA,SIM,SIM,148710505655.14,155358515599.1,-4.28,28699727044.76,30598648021.41,-6.21
2026-09-13,2026-08-31,BRASIL,SIM,SIM,118857497989.6,122353306754.0,-2.86,22938377719.16,24098104652.87,-4.81
2026-09-13,2026-08-31,SANTANDER BR,SIM,SIM,110828288933.78,107303979339.81,3.28,21388815990.0,21134063250.12,1.21
2026-09-13,2026-08-31,TELEF BRASIL,SIM,SIM,96312416666.7,105282216275.86,-8.52,18587389352.07,20735866755.14,-10.36
2026-09-13,2026-08-31,SABESP,SIM,SIM,89100220152.0,97629592492.5,-8.74,17195503348.77,19228643667.4,-10.57
2026-09-13,2026-08-31,B3,SIM,SIM,81854230000.0,79381445000.0,3.12,15797095491.74,15634578417.66,1.04
2026-09-13,2026-08-31,REDE D OR,SIM,SIM,78813493316.2,77603735317.6,1.56,15210261949.24,15284449474.64,-0.49
2026-09-13,2026-08-31,BBSEGURIDADE,SIM,SIM,78432560000.0,80102164000.0,-2.08,15136745406.82,15776527682.04,-4.06
2026-09-13,2026-08-31,EMBRAER,SIM,SIM,69226076963.56,64339007673.16,7.6,13359980886.9,12671894052.58,5.43
2026-09-13,2026-08-31,CAIXA SEGURI,SIM,SIM,58020000000.0,60750000000.0,-4.49,11197313571.1,11965020778.76,-6.42
2026-09-13,2026-08-31,SUZANO S.A.,SIM,SIM,57264527959.5,54761575081.8,4.57,11051514582.27,10785570102.57,2.47
2026-09-13,2026-08-31,PRIO,SIM,SIM,54688003084.84,53091336753.55,3.01,10554269547.02,10456608188.12,0.93
2026-09-13,2026-08-31,CPFL ENERGIA,SIM,SIM,51321412757.6,53165019861.6,-3.47,9904549320.21,10471120450.16,-5.41
2026-09-13,2026-08-31,ENEVA,SIM,SIM,50961971039.12,50963246592.27,0.0,9835180453.74,10037470031.76,-2.02
2026-09-13,2026-08-31,EQUATORIAL,SIM,SIM,46181723013.49,48687903237.02,-5.15,8912637604.89,9589329611.61,-7.06
2026-09-13,2026-08-31,COPEL,SIM,SIM,44593018320.5,44235081049.7,0.81,8606032561.47,8712323685.76,-1.22
2026-09-13,2026-08-31,GERDAU,SIM,SIM,44592128610.56,47086386123.71,-5.3,8605860855.83,9273902689.17,-7.2
2026-09-13,2026-08-31,TIM,SIM,SIM,44517462794.29,46479006023.27,-4.22,8591451056.49,9154276096.21,-6.15
2026-09-13,2026-08-31,ENGIE BRASIL,SIM,SIM,41613289057.6,42208169296.0,-1.41,8030972876.64,8313113130.21,-3.39
2026-09-13,2026-08-31,VIBRA,SIM,SIM,41254556737.02,43208215292.55,-4.52,7961740917.29,8510077264.01,-6.44
2026-09-13,2026-08-31,BRADSAUDE,NAO,SIM,40558650268.97,46553259717.52,-12.88,7827437522.96,9168900738.09,-14.63
2026-09-13,2026-08-31,LOCALIZA,SIM,SIM,39402375667.9,42238424250.45,-6.71,7604287414.68,8319071997.02,-8.59
2026-09-13,2026-08-31,ULTRAPAR,SIM,SIM,38853892577.86,36878838302.65,5.36,7498435343.88,7263474347.12,3.23
2026-09-13,2026-08-31,CEMIG,SIM,SIM,36140659302.97,37235616244.3,-2.94,6974806874.9,7333743573.22,-4.89
2026-09-13,2026-08-31,RAIADROGASIL,SIM,SIM,34346399942.4,32383748517.12,6.06,6628531716.54,6378143603.32,3.93
2026-09-13,2026-08-31,CSNMINERACAO,SIM,SIM,32157703664.96,31016974311.98,3.68,6206133948.0,6108950487.85,1.59
2026-09-13,2026-08-31,PORTO SEGURO,SIM,SIM,31734443824.8,35368257482.0,-10.27,6124448785.09,6965957788.98,-12.08
2026-09-13,2026-08-31,MOTIVA SA,SIM,SIM,31229200000.0,29815200000.0,4.74,6026941485.26,5872254938.65,2.63
2026-09-13,2026-08-31,RUMO S.A.,SIM,SIM,28031135544.36,26841485229.48,4.43,5409745164.5,5286566724.34,2.33
2026-09-13,2026-08-31,MARFRIG,SIM,SIM,25206826055.18,24212909584.22,4.1,4864680032.26,4768855412.17,2.01
2026-09-13,2026-08-31,ENERGISA,SIM,SIM,24176324448.0,25087973349.06,-3.63,4665802927.28,4941203661.21,-5.57
2026-09-13,2026-08-31,KLABIN S/A,SIM,SIM,23592790053.0,22781397802.5,3.56,4553186284.74,4486911902.49,1.48
2026-09-13,2026-08-31,COPASA,SIM,SIM,20997574470.18,24400839437.73,-13.95,4052334118.84,4805869150.48,-15.68
2026-09-13,2026-08-31,TOTVS,SIM,SIM,20539786046.45,18617413105.86,10.33,3963985264.48,3666793986.15,8.1
2026-09-13,2026-08-31,ISA ENERGIA,SIM,SIM,20318211855.92,19974721361.56,1.72,3921223532.48,3934122734.83,-0.33
2026-09-13,2026-08-31,COMGAS,NAO,NAO,16466589432.37,16445651954.22,0.13,3177896679.09,3239054606.63,-1.89
2026-09-13,2026-08-31,COMPASS,NAO,NAO,16426372185.0,17740481959.8,-7.41,3170135129.11,3494077946.9,-9.27
2026-09-13,2026-08-31,COSAN,SIM,SIM,15469626634.8,16143943693.24,-4.18,2985492248.49,3179631633.59,-6.11
2026-09-13,2026-08-31,HYPERA,SIM,SIM,15276996580.3,14974272684.93,2.02,2948316462.15,2949258992.95,-0.03
2026-09-13,2026-08-31,MULTIPLAN,SIM,SIM,14327530531.92,14435294909.13,-0.75,2765078456.83,2843104584.94,-2.74
2026-09-13,2026-08-31,REDE ENERGIA,NAO,NAO,14150805356.89,14946948670.98,-5.33,2730972162.44,2943877389.75,-7.23
2026-09-13,2026-08-31,TAESA,SIM,SIM,13469907229.25,13662826651.62,-1.41,2599565236.46,2690963041.7,-3.4
2026-09-13,2026-08-31,ALLOS,SIM,SIM,13456856375.43,13658532754.23,-1.48,2597046544.59,2690117336.82,-3.46
2026-09-13,2026-08-31,GERDAU MET,SIM,SIM,13255926054.72,13922775696.48,-4.79,2558268885.04,2742161325.21,-6.71
2026-09-13,2026-08-31,EQTL PARA,NAO,NAO,12429646004.25,11747275303.15,5.81,2398804617.15,2313685483.06,3.68
2026-09-13,2026-08-31,NATURA,SIM,SIM,12013633922.18,11518793165.66,4.3,2318518203.29,2268684766.64,2.2
2026-09-13,2026-08-31,AUREN,SIM,SIM,11753729529.06,11533150154.52,1.91,2268359103.18,2271512448.45,-0.14
2026-09-13,2026-08-31,COELBA,NAO,NAO,11540226862.55,11473347914.59,0.58,2227155099.3,2259734093.83,-1.44
2026-09-13,2026-08-31,ASSAI,SIM,SIM,11431080304.44,11505015727.0,-0.64,2206090841.52,2265971230.18,-2.64
2026-09-13,2026-08-31,LOJAS RENNER,SIM,SIM,10974611535.5,13693093292.0,-19.85,2117996668.11,2696924210.11,-21.47
2026-09-13,2026-08-31,CYRELA REALT,SIM,SIM,10905877808.5,9620704186.5,13.36,2104731706.13,1894846510.25,11.08
2026-09-13,2026-08-31,NORD BRASIL,NAO,NAO,10847102415.1,11449170884.0,-5.26,2093388608.75,2254972304.97,-7.17
2026-09-13,2026-08-31,ALUPAR,NAO,NAO,10791983592.62,10752428368.58,0.37,2082751195.12,2117745330.9,-1.65
2026-09-13,2026-08-31,FLEURY,SIM,SIM,10768719391.68,9378854185.64,14.82,2078261423.44,1847212925.3,12.51
2026-09-13,2026-08-31,GRUPO MATEUS,NAO,SIM,10666096589.84,9283881049.04,14.89,2058456189.18,1828507484.1,12.58
2026-09-13,2026-08-31,SMART FIT,SIM,SIM,10357142677.64,12137757926.8,-14.67,1998830993.83,2390593017.31,-16.39
2026-09-13,2026-08-31,SANEPAR,NAO,SIM,10131121799.38,10950195190.67,-7.48,1955211092.98,2156696510.09,-9.34
2026-09-13,2026-08-31,CURY S/A,SIM,SIM,10042351564.4,9269152103.46,8.34,1938079273.66,1825606543.53,6.16
2026-09-13,2026-08-31,GPS,NAO,SIM,9344193048.54,8817547707.64,5.97,1803341255.31,1736660766.08,3.84
2026-09-13,2026-08-31,ORIZON,NAO,SIM,9096348450.24,9681349120.5,-6.04,1755509582.03,1906790837.75,-7.93
2026-09-13,2026-08-31,CEG,NAO,NAO,9087320620.0,9087320620.0,0.0,1753767295.82,1789793910.15,-2.01
2026-09-13,2026-08-31,USIMINAS,SIM,SIM,8930225658.52,8616223523.33,3.64,1723449447.76,1697008946.36,1.56
2026-09-13,2026-08-31,ELEKTRO,NAO,NAO,8656675601.98,8780967119.44,-1.42,1670656863.13,1729456033.61,-3.4
2026-09-13,2026-08-31,ALPARGATAS,NAO,NAO,8612846507.47,7304924579.81,17.9,1662198260.67,1438741965.18,15.53
2026-09-13,2026-08-31,BRADESPAR,SIM,SIM,8230016029.06,8178959766.8,0.62,1588315583.81,1610887630.59,-1.4
2026-09-13,2026-08-31,SLC AGRICOLA,SIM,SIM,8014847095.1,6673220543.4,20.1,1546790006.0,1314324649.6,17.69
2026-09-13,2026-08-31,BRAVA,SIM,SIM,7957866000.84,9198233906.4,-13.48,1535793191.45,1811638844.74,-15.23
2026-09-13,2026-08-31,JHSF PART,NAO,SIM,7452941577.2,7562342554.48,-1.45,1438347533.04,1489441741.57,-3.43
2026-09-13,2026-08-31,CBA,NAO,SIM,7311546387.31,7213885482.76,1.35,1411059593.04,1420811353.03,-0.69
2026-09-13,2026-08-31,IGUATEMI S.A,SIM,SIM,7283577851.88,7372655478.62,-1.21,1405661929.11,1452081909.4,-3.2
2026-09-13,2026-08-31,ENERGISA MT,NAO,NAO,7208543910.55,7839096694.87,-8.04,1391181085.1,1543949873.92,-9.89
2026-09-13,2026-08-31,SID NACIONAL,SIM,SIM,7054819798.04,6418294703.48,9.92,1361513779.15,1264115711.79,7.7
2026-09-13,2026-08-31,AZUL,NAO,NAO,6928888971.2,8167243595.84,-15.16,1337210315.58,1608580071.27,-16.87
2026-09-13,2026-08-31,SAO MARTINHO,NAO,SIM,6565598972.25,4826961877.32,36.02,1267098767.22,950694636.39,33.28
2026-09-13,2026-08-31,MERCANTIL,NAO,NAO,6472187292.68,6420020253.9,0.81,1249071192.81,1264455567.7,-1.22
2026-09-13,2026-08-31,FRAS-LE,NAO,NAO,6453313794.82,5934693876.47,8.74,1245428785.48,1168868074.86,6.55
2026-09-13,2026-08-31,BANRISUL,NAO,NAO,6419975927.04,6501235496.44,-1.25,1238994890.97,1280451321.85,-3.24
2026-09-13,2026-08-31,UNIPAR,NAO,NAO,6326881513.9,6991205819.91,-9.5,1221028545.99,1376953463.44,-11.32
2026-09-13,2026-08-31,ABC BRASIL,NAO,NAO,6019884971.1,6254425944.0,-3.75,1161781104.5,1231840928.05,-5.69
2026-09-13,2026-08-31,M.DIASBRANCO,NAO,NAO,5857920000.0,5813850000.0,0.76,1130523390.46,1145067260.16,-1.27
2026-09-13,2026-08-31,DIRECIONAL,SIM,SIM,5787960000.0,5907675000.0,-2.03,1117021769.34,1163546570.03,-4.0
2026-09-13,2026-08-31,3TENTOS,NAO,NAO,5763490316.97,5908704234.6,-2.46,1112299350.97,1163749283.0,-4.42
2026-09-13,2026-08-31,LIGHT S/A,NAO,NAO,5717923467.85,5247979299.26,8.95,1103505378.23,1033616154.11,6.76
2026-09-13,2026-08-31,CELESC,NAO,NAO,5605976930.92,5255713175.45,6.66,1081900750.91,1035139380.27,4.52
2026-09-13,2026-08-31,WHIRLPOOL,NAO,NAO,5493845310.21,5753968793.25,-4.52,1060260404.16,1133273352.62,-6.44
2026-09-13,2026-08-31,MARCOPOLO,SIM,SIM,5355251138.96,6452073729.31,-17.0,1033513034.38,1270768662.34,-18.67
2026-09-13,2026-08-31,VIVARA S.A.,SIM,SIM,5262486293.32,5238866516.42,0.45,1015610292.83,1031821345.29,-1.57
2026-09-13,2026-08-31,ECORODOVIAS,NAO,SIM,5076276492.96,4825596172.32,5.19,979673555.07,950425653.86,3.08
2026-09-13,2026-08-31,INTELBRAS,NAO,SIM,4891233872.3,4799502761.5,1.91,943962072.0,945286424.18,-0.14
2026-09-13,2026-08-31,DEXCO,NAO,NAO,4778977819.2,4687074399.6,1.96,922297710.98,923143087.78,-0.09
2026-09-13,2026-08-31,COGNA ON,SIM,SIM,4747813711.3,4706528374.68,0.88,916283331.65,926974646.9,-1.15
2026-09-13,2026-08-31,HIDROVIAS,NAO,NAO,4693320118.35,4271601499.02,9.87,905766581.43,841313591.68,7.66
2026-09-13,2026-08-31,IRBBRASIL RE,NAO,SIM,4656041784.54,4588112189.16,1.48,898572214.09,903651978.25,-0.56
2026-09-13,2026-08-31,METAL LEVE,NAO,NAO,4436191470.0,4320983320.0,2.67,856143173.92,851039591.91,0.6
2026-09-13,2026-08-31,VULCABRAS,NAO,NAO,4280040008.2,4426311806.4,-3.3,826007412.42,871784571.8,-5.25
2026-09-13,2026-08-31,TENDA,NAO,SIM,4057336831.2,3717795350.16,9.13,783027796.67,732238660.34,6.94
2026-09-13,2026-08-31,AMPLA ENERG,NAO,NAO,3992902937.83,4536771669.43,-11.99,770592662.08,893540202.36,-13.76
2026-09-13,2026-08-31,SIMPAR,NAO,SIM,3852811320.6,4500784133.61,-14.4,743556299.33,886452274.56,-16.12
2026-09-13,2026-08-31,MINERVA,SIM,SIM,3822069080.08,3661979774.52,4.37,737623336.44,721245499.48,2.27
2026-09-13,2026-08-31,MAGAZ LUIZA,SIM,SIM,3732295498.1,3903003400.3,-4.37,720297880.6,768716325.67,-6.3
2026-09-13,2026-08-31,MILLS,NAO,NAO,3687674751.42,3689258910.75,-0.04,711686496.72,726618263.79,-2.06
2026-09-13,2026-08-31,VAMOS,SIM,SIM,3653262326.35,4080901729.1,-10.48,705045222.78,803754304.28,-12.28
2026-09-13,2026-08-31,AMAZONIA,NAO,NAO,3562505918.25,3531113261.85,0.89,687530090.75,695470675.72,-1.14
2026-09-13,2026-08-31,RIACHUELO,NAO,NAO,3529521160.97,3991421512.05,-11.57,681164343.25,786130721.46,-13.35
2026-09-13,2026-08-31,BANCO BMG,NAO,NAO,3494249121.44,3448869262.72,1.32,674357171.81,679272302.74,-0.72
2026-09-13,2026-08-31,GER PARANAP,NAO,NAO,3389840082.09,3493716693.39,-2.97,654207210.53,688105231.79,-4.93
2026-09-13,2026-08-31,HAPVIDA,SIM,SIM,3322390143.24,5669676371.52,-41.4,641190007.57,1116671532.41,-42.58
2026-09-13,2026-08-31,EZTEC,NAO,SIM,3300572421.3,3070364428.89,7.5,636979392.72,604723854.98,5.33
2026-09-13,2026-08-31,BRASKEM,NAO,NAO,3286070889.28,4321226540.24,-23.96,634180733.61,851087495.37,-25.49
