data_captura,conjunto,arquivo_origem,registro_hash,codigo,codigo_isin,data_mov,emissao,num_de_oper,num_oper_com_corretagem,pu_lastro,pu_max,pu_med,pu_min,quant_neg_com_corretagem,quant_negociada,sigla,taxa_max,taxa_med,taxa_min,valor_negociado,valor_par,vencimento
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,6bcd6c7cc9979387469ace19,210100,BRSTNCLF1RF7,2026-06-01,2020-03-13,18,0,19115.81460836,19124.70925500,19119.69775900,19117.52011900,0,14169,LFT,0.0515,0.0073,-0.0941,,19120.04396500,2026-09-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,6796753447beb40ccb967f0b,210100,BRSTNCLF1RG5,2026-06-01,2020-07-03,60,11,19107.52161427,19127.09926100,19118.69135700,19112.98866800,3469,107682,LFT,0.0501,0.0096,-0.0498,,19120.04396500,2027-03-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,61a699bc70ac3230e522f9fa,210100,BRSTNCLF1RH3,2026-06-01,2021-07-02,57,6,19098.50777921,19179.90882200,19117.57836100,19106.92697000,933,93173,LFT,0.0549,0.0103,-0.2496,,19120.04396500,2027-09-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,91aa9df2becadd82129299fe,210100,BRSTNCLF1RI1,2026-06-01,2022-01-05,39,1,19087.14644810,19115.24483300,19113.74981700,19113.04602800,3280,52620,LFT,0.0210,0.0189,0.0144,,19120.04396500,2028-03-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,d53c9d024f7c2db76c0b399b,210100,BRSTNCLF1RK7,2026-06-01,2022-04-06,64,6,19072.37746275,19111.13402400,19106.76733800,19099.14575600,941,110475,LFT,0.0486,0.0309,0.0207,,19120.04396500,2028-09-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,7e346b5a8c21be96c5d1a503,210100,BRSTNCLF1RL5,2026-06-01,2022-10-05,34,10,19054.57217680,19099.71935800,19095.62101200,19089.16509300,5071,46333,LFT,0.0593,0.0469,0.0390,,19120.04396500,2029-03-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,dcd64c7e4b270a70e2183146,210100,BRSTNCLF1RM3,2026-06-01,2023-07-05,57,2,19036.14638465,19099.98703800,19086.26737300,19083.92620100,3219,86751,LFT,0.0584,0.0546,0.0324,,19120.04396500,2029-09-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,5ac7a9cad3e93a938ff52d93,210100,BRSTNCLF1RO9,2026-06-01,2024-01-10,35,3,19019.53371963,19084.49980300,19076.21456000,19061.78519100,10325,94409,LFT,0.0820,0.0616,0.0500,,19120.04396500,2030-03-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,0c688f68b8d67509cfebe66e,210100,BRSTNCLF1RQ4,2026-06-01,2024-04-03,6,0,19010.04614518,19071.55553300,19070.08913800,19068.76400700,0,2867,LFT,0.0677,0.0659,0.0640,,19120.04396500,2030-06-01
2026-06-03,bacen_negociacao_tpf_extragrupo,NegE202606.CSV,b0949400a1a618948f6b5923,210100,BRSTNCLF1RR2,2026-06-01,2024-07-03,12,0,18999.58317538,19065.22679800,19064.14342600,19061.93815100,0,4755,LFT,0.0721,0.0693,0.0680,,19120.04396500,2030-09-01
