data_captura,conjunto,arquivo_origem,codigo,codigo_isin,data_mov,emissao,num_de_oper,num_oper_com_corretagem,pu_lastro,pu_max,pu_med,pu_min,quant_neg_com_corretagem,quant_negociada,sigla,taxa_max,taxa_med,taxa_min,valor_negociado,valor_par,vencimento,registro_hash
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RF7,04/05/2026,13/03/2020,29,6,"18912,37568057","18917,17155600","18916,97623500","18914,23942400",205337,289024,LFT,"0,0432","0,0002","-0,0026",,"18916,98238700",01/09/2026,d158a040be038128fc5cc041
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RG5,04/05/2026,03/07/2020,82,20,"18904,19713579","18916,56621300","18916,40721600","18915,43119400",64999,298311,LFT,"0,0101","0,0037","0,0028",,"18916,98238700",01/03/2027,d07e44b5f8c5525b0d3e6bd2
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RH3,04/05/2026,02/07/2021,52,13,"18894,98852948","18923,50874500","18915,20639900","18910,68303100",9744,80164,LFT,"0,0251","0,0070","-0,0258",,"18916,98238700",01/09/2027,4fbfdfe23475fdd46abe2921
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RI1,04/05/2026,05/01/2022,30,8,"18883,52872365","18911,25045100","18910,41775200","18908,35624300",2916,54001,LFT,"0,0250","0,0191","0,0166",,"18916,98238700",01/03/2028,5f159dc613dc0b4581898dfc
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RK7,04/05/2026,06/04/2022,67,6,"18869,02673139","18908,50757800","18903,79956800","18894,60359600",4876,95493,LFT,"0,0508","0,0299","0,0192",,"18916,98238700",01/09/2028,788ce09900099a92e62b05c6
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RL5,04/05/2026,05/10/2022,32,4,"18850,64529132","18894,01717000","18892,75399100","18890,99045300",1254,94253,LFT,"0,0490","0,0456","0,0433",,"18916,98238700",01/03/2029,71cb4aca973a956f94b26aef
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RM3,04/05/2026,05/07/2023,18,1,"18831,29807677","18882,36430900","18881,39392800","18878,75116500",1018,36399,LFT,"0,0610","0,0567","0,0552",,"18916,98238700",01/09/2029,7f0c082751f57396d9f68094
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RO9,04/05/2026,10/01/2024,21,2,"18810,37470530","18869,51967800","18867,04925000","18858,23325400",251,8481,LFT,"0,0818","0,0695","0,0661",,"18916,98238700",01/03/2030,124046dd61c4f3c4f0614f2a
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RQ4,04/05/2026,03/04/2024,13,3,"18800,74984301","18872,62206300","18862,34152200","18860,79894900",789,4159,LFT,"0,0735","0,0715","0,0580",,"18916,98238700",01/06/2030,0c8cb8e17004cff4e5d48d5e
2026-06-01,bacen_negociacao_tpf_extragrupo_mes_anterior,NegE202605.CSV,210100,BRSTNCLF1RR2,04/05/2026,03/07/2024,71,1,"18790,88769566","18855,74811500","18855,38381400","18854,84009900",106,71852,LFT,"0,0765","0,0758","0,0754",,"18916,98238700",01/09/2030,8abd280449d84afca7dace34
