data_captura,conjunto,arquivo_origem,registro_hash,codigo,codigo_isin,data_mov,emissao,num_de_oper,num_oper_com_corretagem,pu_lastro,pu_max,pu_med,pu_min,quant_neg_com_corretagem,quant_negociada,sigla,taxa_max,taxa_med,taxa_min,valor_negociado,valor_par,vencimento
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,5b1d0d7d17a7e84b371577a3,210100,BRSTNCLF1RF7,01/06/2026,13/03/2020,18,0,"19115,81460836","19124,70925500","19119,69775900","19117,52011900",0,14169,LFT,"0,0515","0,0073","-0,0941",,"19120,04396500",01/09/2026
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,1c3481bff1060104584b4ca2,210100,BRSTNCLF1RG5,01/06/2026,03/07/2020,60,11,"19107,52161427","19127,09926100","19118,69135700","19112,98866800",3469,107682,LFT,"0,0501","0,0096","-0,0498",,"19120,04396500",01/03/2027
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,9579a4a1b33d543c76443309,210100,BRSTNCLF1RH3,01/06/2026,02/07/2021,57,6,"19098,50777921","19179,90882200","19117,57836100","19106,92697000",933,93173,LFT,"0,0549","0,0103","-0,2496",,"19120,04396500",01/09/2027
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,a5fc0f88434ebe7b110e6ede,210100,BRSTNCLF1RI1,01/06/2026,05/01/2022,39,1,"19087,14644810","19115,24483300","19113,74981700","19113,04602800",3280,52620,LFT,"0,0210","0,0189","0,0144",,"19120,04396500",01/03/2028
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,7faf0cb8f9fa695f33322ae9,210100,BRSTNCLF1RK7,01/06/2026,06/04/2022,64,6,"19072,37746275","19111,13402400","19106,76733800","19099,14575600",941,110475,LFT,"0,0486","0,0309","0,0207",,"19120,04396500",01/09/2028
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,e47030c0916edd8be4e351f1,210100,BRSTNCLF1RL5,01/06/2026,05/10/2022,34,10,"19054,57217680","19099,71935800","19095,62101200","19089,16509300",5071,46333,LFT,"0,0593","0,0469","0,0390",,"19120,04396500",01/03/2029
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,5b15ed3a27559f1381739c9a,210100,BRSTNCLF1RM3,01/06/2026,05/07/2023,57,2,"19036,14638465","19099,98703800","19086,26737300","19083,92620100",3219,86751,LFT,"0,0584","0,0546","0,0324",,"19120,04396500",01/09/2029
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,6131834a4bb75897bf5729b9,210100,BRSTNCLF1RO9,01/06/2026,10/01/2024,35,3,"19019,53371963","19084,49980300","19076,21456000","19061,78519100",10325,94409,LFT,"0,0820","0,0616","0,0500",,"19120,04396500",01/03/2030
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,0ae50fe3b70d47e17b31c8ac,210100,BRSTNCLF1RQ4,01/06/2026,03/04/2024,6,0,"19010,04614518","19071,55553300","19070,08913800","19068,76400700",0,2867,LFT,"0,0677","0,0659","0,0640",,"19120,04396500",01/06/2030
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,90d7775068f80b1b1e43afab,210100,BRSTNCLF1RR2,01/06/2026,03/07/2024,12,0,"18999,58317538","19065,22679800","19064,14342600","19061,93815100",0,4755,LFT,"0,0721","0,0693","0,0680",,"19120,04396500",01/09/2030
2026-06-02,bacen_negociacao_tpf_extragrupo_mes_corrente,NegE202606.CSV,ec34b9c9b0ccf85e3a45b49e,210100,BRSTNCLF1RT8,01/06/2026,02/10/2024,2,0,"18992,30486363","19060,29382700","19058,72696400","19058,49654300",0,390,LFT,"0,0721","0,0718","0,0700",,"19120,04396500",01/12/2030
