data_captura,hora_captura,conjunto,arquivo_origem,cotacaocompra,cotacaovenda,datahoracotacao,moeda,paridadecompra,paridadevenda,tipoboletim,registro_hash
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0015,5.0021,2026-05-25 10:05:29.075,USD,1.0,1.0,Abertura,5302014e44a90bce4aa10e4f
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0109,5.0115,2026-05-25 11:05:27.85,USD,1.0,1.0,Intermediário,d7ffd7c3282c42c10d24634a
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0085,5.0091,2026-05-25 12:08:26.405,USD,1.0,1.0,Intermediário,d50f3a986d61b77504f2164c
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0055,5.0061,2026-05-25 13:06:31.058,USD,1.0,1.0,Intermediário,65a65d0d4fc3e3986c566f1e
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0066,5.0072,2026-05-25 13:06:31.065,USD,1.0,1.0,Fechamento,3e76040a9c61ef2008c6328b
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0098,5.0104,2026-05-26 10:10:26.213,USD,1.0,1.0,Abertura,daa76ba094876b85278e10a4
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0213,5.0219,2026-05-26 11:10:27.897,USD,1.0,1.0,Intermediário,4d70a65de6e7930790e83626
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0233,5.0239,2026-05-26 12:03:25.5,USD,1.0,1.0,Intermediário,333feaf4ccdbc9f94e0524b1
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0277,5.0283,2026-05-26 13:07:25.802,USD,1.0,1.0,Intermediário,de6882d4e1d9661ec95c360d
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0205,5.0211,2026-05-26 13:07:25.808,USD,1.0,1.0,Fechamento,fe35f99fdb7585d8bdedfcb3
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0494,5.05,2026-05-27 10:05:27.162,USD,1.0,1.0,Abertura,56f0c19b6bf1aa49ab1b7b66
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0604,5.061,2026-05-27 11:11:25.692,USD,1.0,1.0,Intermediário,e668d695226e11d55fafbcae
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0579,5.0585,2026-05-27 12:10:24.74,USD,1.0,1.0,Intermediário,fea43063f6953e3bb8b324f4
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0615,5.0621,2026-05-27 13:02:29.547,USD,1.0,1.0,Intermediário,49f98eb2fa649dc0caf72495
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0573,5.0579,2026-05-27 13:02:29.556,USD,1.0,1.0,Fechamento,1b3d35040e1d1871fcfc2b97
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0536,5.0542,2026-05-28 10:06:25.86,USD,1.0,1.0,Abertura,7dde38d432898e9eb4fca4f5
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0621,5.0627,2026-05-28 11:03:09.932,USD,1.0,1.0,Intermediário,2487316b5398f49b0d8b1bca
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0421,5.0427,2026-05-28 12:11:25.095,USD,1.0,1.0,Intermediário,8cec1487f3d2617828b405e8
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0466,5.0472,2026-05-28 13:08:16.221,USD,1.0,1.0,Intermediário,4dd613508c5df30ce5525540
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0511,5.0517,2026-05-28 13:08:16.225,USD,1.0,1.0,Fechamento,c0a15996fb4267975729f06b
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0547,5.0553,2026-05-29 10:03:24.918,USD,1.0,1.0,Abertura,4136f6348c48909c59ca8c2e
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0557,5.0563,2026-05-29 11:10:25.382,USD,1.0,1.0,Intermediário,b574fd9dba30b368aa82817d
2026-06-01,12:26:04,bcb_moedas_ptax,,5.057,5.0576,2026-05-29 12:08:24.985,USD,1.0,1.0,Intermediário,88559f35800ff24fdf594f74
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0578,5.0584,2026-05-29 13:10:26.602,USD,1.0,1.0,Intermediário,a5c6756635023b356a87bc25
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0563,5.0569,2026-05-29 13:10:26.61,USD,1.0,1.0,Fechamento,3f872de09f980bf961d4750c
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0211,5.0217,2026-06-01 10:07:25.526,USD,1.0,1.0,Abertura,40e35b5e35ca2da753f066ea
2026-06-01,12:26:04,bcb_moedas_ptax,,5.0375,5.0381,2026-06-01 11:11:25.591,USD,1.0,1.0,Intermediário,22b8abf7d7ef779b5e42bc8e
2026-06-01,12:26:04,bcb_moedas_ptax,,5.026,5.0266,2026-06-01 12:04:24.727,USD,1.0,1.0,Intermediário,34db405710949e5d29db0476
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8252,5.8274,2026-05-25 10:05:29.075,EUR,1.1647,1.165,Abertura,d2d35eb11a7de8adc28dc25a
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8317,5.8334,2026-05-25 11:05:27.85,EUR,1.1638,1.164,Intermediário,a0b15ff36441ab58d694ef57
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8304,5.8316,2026-05-25 12:08:26.405,EUR,1.1641,1.1642,Intermediário,6b13f9e16ca1e43af9d7c814
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8269,5.8291,2026-05-25 13:06:31.058,EUR,1.1641,1.1644,Intermediário,e24db831f06b5ebeff9c931d
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8282,5.8304,2026-05-25 13:06:31.065,EUR,1.1641,1.1644,Fechamento,8aa6ccc478d0848c45aaa152
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8269,5.8286,2026-05-26 10:10:26.213,EUR,1.1631,1.1633,Abertura,abec1a091f1a94e08e9c022d
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8373,5.8385,2026-05-26 11:10:27.897,EUR,1.1625,1.1626,Intermediário,37757dfce55e8ef851e1eec7
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8391,5.8408,2026-05-26 12:03:25.5,EUR,1.1624,1.1626,Intermediário,e7818d7a7c52cadee3d38d3f
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8422,5.8434,2026-05-26 13:07:25.802,EUR,1.162,1.1621,Intermediário,bdb91f162ab47232827c1e4f
2026-06-01,12:26:04,bcb_moedas_ptax,,5.8338,5.835,2026-05-26 13:07:25.808,EUR,1.162,1.1621,Fechamento,0d0c72332ac2be1a45d235d9
