ticker,label,category
VALE3.SA,VALE3,yahoo_acoes_brasileiras
PETR4.SA,PETR4,yahoo_acoes_brasileiras
PETR3.SA,PETR3,yahoo_acoes_brasileiras
ITUB4.SA,ITUB4,yahoo_acoes_brasileiras
BBDC4.SA,BBDC4,yahoo_acoes_brasileiras
BBAS3.SA,BBAS3,yahoo_acoes_brasileiras
B3SA3.SA,B3SA3,yahoo_acoes_brasileiras
ELET3.SA,ELET3,yahoo_acoes_brasileiras
WEGE3.SA,WEGE3,yahoo_acoes_brasileiras
ABEV3.SA,ABEV3,yahoo_acoes_brasileiras
RENT3.SA,RENT3,yahoo_acoes_brasileiras
GGBR4.SA,GGBR4,yahoo_acoes_brasileiras
CSNA3.SA,CSNA3,yahoo_acoes_brasileiras
USIM5.SA,USIM5,yahoo_acoes_brasileiras
JBSS3.SA,JBSS3,yahoo_acoes_brasileiras
MGLU3.SA,MGLU3,yahoo_acoes_brasileiras
LREN3.SA,LREN3,yahoo_acoes_brasileiras
EQTL3.SA,EQTL3,yahoo_acoes_brasileiras
SBSP3.SA,SBSP3,yahoo_acoes_brasileiras
SUZB3.SA,SUZB3,yahoo_acoes_brasileiras
VIVT3.SA,VIVT3,yahoo_acoes_brasileiras
TIMS3.SA,TIMS3,yahoo_acoes_brasileiras
SANB11.SA,SANB11,yahoo_acoes_brasileiras
BPAC11.SA,BPAC11,yahoo_acoes_brasileiras
CIEL3.SA,CIEL3,yahoo_acoes_brasileiras
EGIE3.SA,EGIE3,yahoo_acoes_brasileiras
CPFE3.SA,CPFE3,yahoo_acoes_brasileiras
CMIG4.SA,CMIG4,yahoo_acoes_brasileiras
CCRO3.SA,CCRO3,yahoo_acoes_brasileiras
RADL3.SA,RADL3,yahoo_acoes_brasileiras
HYPE3.SA,HYPE3,yahoo_acoes_brasileiras
CRFB3.SA,CRFB3,yahoo_acoes_brasileiras
ASAI3.SA,ASAI3,yahoo_acoes_brasileiras
NTCO3.SA,NTCO3,yahoo_acoes_brasileiras
BRFS3.SA,BRFS3,yahoo_acoes_brasileiras
COGN3.SA,COGN3,yahoo_acoes_brasileiras
CYRE3.SA,CYRE3,yahoo_acoes_brasileiras
MRVE3.SA,MRVE3,yahoo_acoes_brasileiras
EZTC3.SA,EZTC3,yahoo_acoes_brasileiras
TEND3.SA,TEND3,yahoo_acoes_brasileiras
ALOS3.SA,ALOS3,yahoo_acoes_brasileiras
MULT3.SA,MULT3,yahoo_acoes_brasileiras
IGTI11.SA,IGTI11,yahoo_acoes_brasileiras
BEEF3.SA,BEEF3,yahoo_acoes_brasileiras
MRFG3.SA,MRFG3,yahoo_acoes_brasileiras
CPLE6.SA,CPLE6,yahoo_acoes_brasileiras
ENGI11.SA,ENGI11,yahoo_acoes_brasileiras
TAEE11.SA,TAEE11,yahoo_acoes_brasileiras
TRPL4.SA,TRPL4,yahoo_acoes_brasileiras
PRIO3.SA,PRIO3,yahoo_acoes_brasileiras
RRRP3.SA,RRRP3,yahoo_acoes_brasileiras
RECV3.SA,RECV3,yahoo_acoes_brasileiras
UGPA3.SA,UGPA3,yahoo_acoes_brasileiras
VBBR3.SA,VBBR3,yahoo_acoes_brasileiras
CSAN3.SA,CSAN3,yahoo_acoes_brasileiras
BRKM5.SA,BRKM5,yahoo_acoes_brasileiras
EMBR3.SA,EMBR3,yahoo_acoes_brasileiras
GOLL4.SA,GOLL4,yahoo_acoes_brasileiras
AZUL4.SA,AZUL4,yahoo_acoes_brasileiras
RUMO3.SA,RUMO3,yahoo_acoes_brasileiras
JHSF3.SA,JHSF3,yahoo_acoes_brasileiras
YDUQ3.SA,YDUQ3,yahoo_acoes_brasileiras
CVCB3.SA,CVCB3,yahoo_acoes_brasileiras
SLCE3.SA,SLCE3,yahoo_acoes_brasileiras
SMTO3.SA,SMTO3,yahoo_acoes_brasileiras
FLRY3.SA,FLRY3,yahoo_acoes_brasileiras
HAPV3.SA,HAPV3,yahoo_acoes_brasileiras
QUAL3.SA,QUAL3,yahoo_acoes_brasileiras
ODPV3.SA,ODPV3,yahoo_acoes_brasileiras
BBDC3.SA,BBDC3,yahoo_acoes_brasileiras
ITSA4.SA,ITSA4,yahoo_acoes_brasileiras
BRAP4.SA,BRAP4,yahoo_acoes_brasileiras
CMIN3.SA,CMIN3,yahoo_acoes_brasileiras
KLBN11.SA,KLBN11,yahoo_acoes_brasileiras
PCAR3.SA,PCAR3,yahoo_acoes_brasileiras
IRBR3.SA,IRBR3,yahoo_acoes_brasileiras
ENEV3.SA,ENEV3,yahoo_acoes_brasileiras
LOGN3.SA,LOGN3,yahoo_acoes_brasileiras
MDIA3.SA,MDIA3,yahoo_acoes_brasileiras
AAPL,APPLE,yahoo_acoes_internacionais
MSFT,MICROSOFT,yahoo_acoes_internacionais
GOOGL,GOOGLE,yahoo_acoes_internacionais
AMZN,AMAZON,yahoo_acoes_internacionais
NVDA,NVIDIA,yahoo_acoes_internacionais
META,META,yahoo_acoes_internacionais
TSLA,TESLA,yahoo_acoes_internacionais
NFLX,NETFLIX,yahoo_acoes_internacionais
JPM,JPMORGAN,yahoo_acoes_internacionais
V,VISA,yahoo_acoes_internacionais
WMT,WALMART,yahoo_acoes_internacionais
DIS,DISNEY,yahoo_acoes_internacionais
MA,MASTERCARD,yahoo_acoes_internacionais
UNH,UNITEDHEALTH,yahoo_acoes_internacionais
HD,HOMEDEPOT,yahoo_acoes_internacionais
BAC,BANK_OF_AMERICA,yahoo_acoes_internacionais
XOM,EXXONMOBIL,yahoo_acoes_internacionais
CVX,CHEVRON,yahoo_acoes_internacionais
KO,COCA_COLA,yahoo_acoes_internacionais
PEP,PEPSICO,yahoo_acoes_internacionais
COST,COSTCO,yahoo_acoes_internacionais
PG,PROCTER_GAMBLE,yahoo_acoes_internacionais
JNJ,JOHNSON_JOHNSON,yahoo_acoes_internacionais
MRK,MERCK,yahoo_acoes_internacionais
ABBV,ABBVIE,yahoo_acoes_internacionais
LLY,ELI_LILLY,yahoo_acoes_internacionais
PFE,PFIZER,yahoo_acoes_internacionais
AMD,AMD,yahoo_acoes_internacionais
INTC,INTEL,yahoo_acoes_internacionais
QCOM,QUALCOMM,yahoo_acoes_internacionais
ADBE,ADOBE,yahoo_acoes_internacionais
CRM,SALESFORCE,yahoo_acoes_internacionais
ORCL,ORACLE,yahoo_acoes_internacionais
NKE,NIKE,yahoo_acoes_internacionais
MCD,MCDONALDS,yahoo_acoes_internacionais
SBUX,STARBUCKS,yahoo_acoes_internacionais
NVO,NOVO_NORDISK,yahoo_acoes_internacionais
ASML,ASML,yahoo_acoes_internacionais
TSM,TSMC,yahoo_acoes_internacionais
BABA,ALIBABA,yahoo_acoes_internacionais
BRL=X,USD_BRL,yahoo_cambio_moedas
EURBRL=X,EUR_BRL,yahoo_cambio_moedas
GBPBRL=X,GBP_BRL,yahoo_cambio_moedas
CHFBRL=X,CHF_BRL,yahoo_cambio_moedas
JPYBRL=X,JPY_BRL,yahoo_cambio_moedas
CNYBRL=X,CNY_BRL,yahoo_cambio_moedas
ARSBRL=X,ARS_BRL,yahoo_cambio_moedas
CLPBRL=X,CLP_BRL,yahoo_cambio_moedas
MXNBRL=X,MXN_BRL,yahoo_cambio_moedas
UYUBRL=X,UYU_BRL,yahoo_cambio_moedas
COPBRL=X,COP_BRL,yahoo_cambio_moedas
