data_captura,conjunto,arquivo_origem,registro_hash,auditor,bairro,bairro_resp,categ_reg,cd_cvm,cep,cep_resp,cnpj_auditor,cnpj_cia,compl,compl_resp,controle_acionario,ddd_fax,ddd_fax_resp,ddd_tel,ddd_tel_resp,denom_comerc,denom_social,dt_cancel,dt_const,dt_ini_categ,dt_ini_resp,dt_ini_sit,dt_ini_sit_emissor,dt_reg,email,email_resp,fax,fax_resp,logradouro,logradouro_resp,motivo_cancel,mun,mun_resp,pais,pais_resp,resp,setor_ativ,sit,sit_emissor,tel,tel_resp,tp_ender,tp_merc,tp_resp,uf,uf_resp
2026-06-18,cvm_cadastro_companhias_abertas,,afba363751e493fd498dc08d,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.,Chacara Santo Antoni,CHÁCARA STO. ANTÔNIO,Categoria A,25224,4711130,4711130,10.830.108/0001-65,08.773.135/0001-00,8 and-conj 815-sl 1,8 AND-CONJ815-SL1,PRIVADO,11,,11,11,2W ECOBANK S.A.,2W ECOBANK S.A. - EM RECUPERAÇÃO JUDICIAL,,2007-03-23,2020-10-29,2026-04-22,2026-05-19,2025-04-23,2020-10-29,ri@2wecobank.com.br,juridico@2wecobank.com.br,3957-94-99,,"Avenida Dr. Chucri Zaidan, 1550","AV DR. CHUCRI ZAIDAN, 1550",,SÃO PAULO,SÃO PAULO,BRASIL,,FERNANDO GUEDES VIEIRA,Energia Elétrica,SUSPENSO(A) - DECISÃO ADM,EM RECUPERAÇÃO JUDICIAL OU EQUIVALENTE,3957-94-00,3957-94-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,32eb4a02b858c2db3b794a69,MOORE STEPHENS LIMA LUCCHESI AUDITORES INDEPENDENTES,Centro,CENTRO,Categoria B,21954,2002-00-00,2002-00-00,60.525.706/0001-07,11.396.633/0001-87,sala 703,SALA 703,PRIVADO,21,21,21,21,TRIPLO A  COMPANHIA SECURITIZADORA,3A COMPANHIA SECURITIZADORA,2015-12-18,2009-11-03,2010-03-08,2011-06-16,2015-12-18,2010-03-08,2010-03-08,dri@3asec.com.br,juridico@triploasec.com.br,2233-88-67,2233-88-67,"Avenida Erasmo Braga, nº. 299","AVENIDA ERASMO BRAGA, Nº. 299",CANCELAMENTO VOLUNTÁRIO,RIO DE JANEIRO,RIO DE JANEIRO,BRASIL,,FELIPE MARQUES DA FONSECA,Securitização de Recebíveis,CANCELADA,FASE PRÉ-OPERACIONAL,2233-88-67,2233-88-67,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
2026-06-18,cvm_cadastro_companhias_abertas,,c66190b761a8009140673360,IRKO HIRASHIMA AUDITORES INDEPENDENTES LTDA.,Barra da Tijuca,,Categoria B,16330,2277-50-03,,02.878.522/0001-16,01.547.749/0001-16,3000 - sala 4098,,PRIVADO,21,,21,,521 PARTICIPAÇÕES S/A,521 PARTICIPAÇOES S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,,1996-07-30,2011-04-28,,1997-07-11,2015-04-30,1997-07-11,eximia@eximiacapital.com,,2556-08-09,,Av. Ayrton Senna,,,RIO DE JANEIRO,,BRASIL,,,Emp. Adm. Part. - Energia Elétrica,ATIVO,LIQUIDAÇÃO EXTRAJUDICIAL,2556-08-09,,SEDE,,,RJ,
2026-06-18,cvm_cadastro_companhias_abertas,,d124de6c953f9dd40d11de38,GRANT THORNTON AUDITORES INDEPENDENTES LTDA.,Centro,Centro,Categoria A,16284,2002-00-10,2002-00-10,10.830.108/0001-65,01.851.771/0001-55,10º andar (pte),51,PRIVADO,21,,21,21,524 PARTICIPACOES SA,524 PARTICIPAÇOES SA,,1997-04-02,2010-01-01,2026-05-06,1997-05-30,1997-05-30,1997-05-30,gar@opportunity.com.br,gar@opportunity.com.br,3804-34-80,,"Av. Presidente Antônio Carlos, nº 51",Av. Presidente Antônio Carlos,,RIO DE JANEIRO,RIO DE JANEIRO,BRASIL,,Maria Amalia Delfim de Melo Coutrim,Emp. Adm. Part. - Sem Setor Principal,ATIVO,FASE OPERACIONAL,3804-37-00,3804-37-00,SEDE,BOLSA,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
2026-06-18,cvm_cadastro_companhias_abertas,,d712e0b630fa36e9d68ddd96,DIRECTA AUDITORES,BOTAFOGO,BOTAFOGO,,16349,2229-01-60,2229-01-60,11.245.719/0001-09,01.919.008/0001-19,"116, SALA 2201",2201 (PARTE),PRIVADO HOLDING,21,21,21,21,525 PARTICIPACOES SA,525 PARTICIPAÇOES SA,2006-05-30,1997-04-02,,2005-06-14,2006-05-30,,1997-07-16,,kevin@mattosfilho.com.br,2196-72-01,2196-72-01,RUA LAURO MULLER,RUA LAURO MULLER 116,ELISÃO POR INCORPORAÇÃO,RIO DE JANEIRO,RIO DE JANEIRO,BRASIL,,KEVIN MICHAEL ALTIT,Emp. Adm. Part. - Sem Setor Principal,CANCELADA,,2196-72-00,2196-72-00,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
2026-06-18,cvm_cadastro_companhias_abertas,,05cc262e2cc3650d67ac8588,ARTHUR ANDERSEN BIEDERMANN A I,,,,35,9024-01-11,9000-00-00,44.038.248/0001-17,92.659.614/0001-06,,,PRIVADO,51,0051,51,51,A J RENNER,A J RENNER SA IND E PARTIP,1998-06-17,,,1969-06-24,1998-06-17,,1969-06-24,,,3423595,3743595,R FREDERICO MENTZ 1606,"RUA FREDERICO MENTZ, 1606",ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,PORTO ALEGRE,PORTO ALEGRE,BRASIL,,VERNER EGON RENNER,Emp. Adm. Participações,CANCELADA,,3372033,3142033,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RS,RS
2026-06-18,cvm_cadastro_companhias_abertas,,2af569da50254f6fcc54010d,CANARIM AUDITORES ASSOCIADOS,CENTRO,FUNCIONáRIOS,,16802,2003-00-21,3015-03-11,02.248.211/0001-73,02.288.752/0001-25,7º ANDAR,1305/802,ESTATAL,21,31,21,31,A.P. PARTICIPAÇÕES S.A.,A.P. PARTICIPAÇOES SA,2004-12-23,1997-12-14,,2004-10-11,2004-12-23,,1998-01-21,contabilidade3@acal.com.br,gilberto@acesita.com.br,2533-38-30,3273-72-18,"AV. PRESIDENTE WILSON, 231 - 2",RUA CEARá,ATENDIMENTO AS NORMAS DA INSTRUÇÃO CVM Nº 361/02,RIO DE JANEIRO,BELO HORIZONTE,BRASIL,,GILBERTO AUDELINO CORREA,Emp. Adm. Participações,CANCELADA,,2220-88-66,3235-42-68,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,MG
2026-06-18,cvm_cadastro_companhias_abertas,,3f3034d1fc1d6e39b45a0d95,RUHTRA S/C,,,,13307,4565000,2151-00-00,33.017.310/0001-78,21.649.280/0001-33,,,PRIVADO,,0021,11,21,ABC COMPUTADORES,ABC DADOS E INFORMATICA SA,1993-03-05,,,1988-06-03,1993-03-05,,1988-06-03,,,,,RUA FLORIDA 1670 12AND,RUA FLORIDA 1670 12AND,ENQUADRAMENTO EXCEÇÕES DA INSTR. CVM 03/78,SÃO PAULO,SÃO PAULO,BRASIL,,JOSE GABRIEL CORREIA DAVID,"Máquinas, Equipamentos, Veículos e Peças",CANCELADA,,5427188,5427188,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,SP,SP
2026-06-18,cvm_cadastro_companhias_abertas,,dce2070f653b560349fff8e7,RUHTRA S/C,CENTRO,ALTO DA SERRA,,16934,2563-50-00,2563-50-00,33.017.310/0001-78,02.258.274/0001-00,,,PRIVADO,24,24,24,24,ABC SUPERMERCADOS,ABC SUPERMERCADOS SA,2001-12-17,1997-09-30,,1998-02-27,2001-12-17,,1998-02-27,mfranca@abcsa.com.br,mfranca@abcsa.com.br,2311222,2311231,"RUA PAULO BARBOSA, 161/201",RUA TEREZA 1415,ATENDIMENTO AS NORMAS DA INSTR CVM 229/95,PETRÓPOLIS,PETRÓPOLIS,BRASIL,,MARCELO FRANÇA DE LIMA,Comércio (Atacado e Varejo),CANCELADA,,2331415,2331415,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
2026-06-18,cvm_cadastro_companhias_abertas,,aa4126effcc30e80416c0359,PRICEWATERHOUSECOOPERS AUDITORES INDEPENDENTES LTDA.,,,,13005,2151-50-00,2151-00-00,61.562.112/0001-20,42.275.727/0001-21,,,PRIVADO,21,0021,21,21,XTAL,ABC XTAL MICROELETRONICA SA,1997-09-11,,,1986-09-15,1997-09-11,,1986-09-15,,,3372-69-50,,AV BRASIL 20201,AV BRASIL 20201,ATENDIMENTO AS NORMAS DA INSTR CVM 03/78,RIO DE JANEIRO,RIO DE JANEIRO,BRASIL,,WALTER EDUARDO TEIXEIRA MACHAD,"Máquinas, Equipamentos, Veículos e Peças",CANCELADA,,3372-63-63,3372-63-63,SEDE,,DIRETOR DE RELAÇÕES COM INVESTIDORES,RJ,RJ
