data_captura,data_referencia,codigo_ativo,emissor,isin,grupo,percentual_taxa,data_vencimento,vna,pu_par,pu_indicativo,percent_pu_par,duration,z_spread,spread_incentivado_sem_gross_up,referencia_ntnb,lei_12431,taxa_indicativa,taxa_compra,taxa_venda,desvio_padrao,val_min_intervalo,val_max_intervalo,percent_reune,registro_hash
2026-09-15,2026-09-14,AALM12,AURA ALMAS MINERACAO S.A. (*),BRAALMDBS017,DI SPREAD,"DI + 1,6000%",2030-10-02,1000,1068.49007,1087.454609,101.77,508,0.7163,,,NÃO,0.7163,0.8204,0.5806,0.05,0.65,0.77,35%,e86a4e2c00c568efeb80ee85
2026-09-15,2026-09-14,ABSP12,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A. (*) (**),BRABSPDBS013,DI SPREAD,"DI + 1,9500%",2026-10-15,1000,1064.837,1065.248498,100.03,22,1.4998,,,NÃO,1.4998,,0.5875,0.09,1.4,1.59,,6b75294a0ed9b741f2fb9507
2026-09-15,2026-09-14,ACOV15,ACO VERDE DO BRASIL S/A (*),BRACOVDBS026,DI SPREAD,"DI + 1,1000%",2032-06-10,1000,1038.649112,1027.972714,98.97,619,1.5249,,,NÃO,1.5249,1.7212,1.35,0,1.52,1.52,,8271ad35c6352bf672bed609
2026-09-15,2026-09-14,ACRC21,ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*),BRACRCDBS011,IPCA SPREAD,"IPCA + 7,4150%",2044-07-15,1192.698224,1207.002198,1123.098302,93.04,1705,2.3654,0.8601,2035-05-15,SIM,8.5439,8.6413,8.48,0.07,8.46,8.62,5%,e18e92ff1d8f3ee747712515
2026-09-15,2026-09-14,ADPA21,AGUAS DO PARA A SPE S.A. (*),BRADPADBS017,DI SPREAD,"DI + 2,8500%",2027-11-27,,,1042.657213,100.44,285,2.4477,,,NÃO,2.4477,,2.1428,0.34,2.1,2.78,,ddf03fae2c703c085748a792
2026-09-15,2026-09-14,AEAB11,AES CAJUINA AB1 HOLDINGS S.A. (*),BRAEABDBS007,IPCA SPREAD,"IPCA + 7,0718%",2044-06-15,1209.86891,1231.047614,1163.243941,94.49,1876,1.7423,0.3257,2037-05-15,SIM,7.8786,7.9123,7.8102,0.11,7.76,7.99,,c2314e39ef2d39249bca37d1
2026-09-15,2026-09-14,AEGE16,EQUIPAV SANEAMENTO S.A. (*) (**),BRAEGEDBS057,DI SPREAD,"DI + 3,9000%",2034-03-11,1000,1000.668509,964.568082,96.39,873,5.0008,,,NÃO,5.0008,6.0215,4,0.04,4.95,5.04,10%,a8df9352811d301f659bea5d
2026-09-15,2026-09-14,AEGE17,EQUIPAV SANEAMENTO S.A. (*) (**),BRAEGEDBS065,DI SPREAD,"DI + 3,4000%",2035-06-15,1000,1042.79238,969.225806,92.94,980,5.3343,,,NÃO,5.3343,5.9468,4.7047,0.1,5.23,5.43,,b58c9043f365537c10043a30
2026-09-15,2026-09-14,AEGP17,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),BRAEGPDBS061,DI SPREAD,"DI + 2,1500%",2027-04-12,333.35,355.696342,356.875938,100.33,133,1.5112,,,NÃO,1.5112,2.0893,0.8857,0.1,1.4,1.61,,8f6d0182cdfb896931399229
2026-09-15,2026-09-14,AEGP19,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),BRAEGPDBS079,DI SPREAD,"DI + 1,9000%",2028-10-04,1000,1069.231002,1061.586495,99.28,227,2.7116,,,NÃO,2.7116,2.9582,2.499,0.09,2.61,2.81,15%,e283aaa5d485a43ef4c45223
2026-09-15,2026-09-14,AEGPA0,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*) (**),BRAEGPDBS087,PREFIXADO,"PREFIXADO + 16,7620%",2029-05-15,1000,1053.013264,1057.942251,100.46,539,6.4057,,,SIM,16.5077,,,0.44,16.06,16.95,,7868bc8c2a935de22580b612
2026-09-15,2026-09-14,AEGPA4,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),BRAEGPDBS0B8,DI SPREAD,"DI + 3,4700%",2028-10-25,1000,1062.699271,1069.540124,100.64,245,2.7897,,,NÃO,2.7897,3.0385,2.55,0.05,2.73,2.84,5%,75011e50d641ec25454db843
2026-09-15,2026-09-14,AEGPA8,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),BRAEGPDBS0E2,PREFIXADO,"PREFIXADO + 16,3433%",2031-01-15,1000,1025.550135,1009.524264,98.43,804,5.9467,,,SIM,16.9175,,,0.38,16.53,17.3,,e7ffb4fea489e114dfa7bfaa
2026-09-15,2026-09-14,AEGPA9,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),BRAEGPDBS0F9,DI SPREAD,"DI + 2,7500%",2029-06-25,1000,1035.839167,1036.892681,100.1,479,2.6951,,,NÃO,2.6951,3.5184,2.011,0.43,2.25,3.13,,3a26cd2e2fdb2ea52e9ba58d
2026-09-15,2026-09-14,AEGPB3,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),BRAEGPDBS0J1,DI SPREAD,"DI + 1,8000%",2032-08-22,1000,1008.255533,957.58078,94.97,886,3.2937,,,NÃO,3.2937,3.6304,2.8525,0.11,3.17,3.4,35%,cda925468d6db64cd162bb69
2026-09-15,2026-09-14,AEGPB5,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),BRAEGPDBS0M5,DI SPREAD,"DI + 1,8000%",2030-12-15,1000,1038.670465,992.844464,95.58,784,3.2799,,,NÃO,3.2799,3.5775,3,0.06,3.21,3.34,10%,0477b262e021134a30266e90
2026-09-15,2026-09-14,AEGPB7,AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*),BRAEGPDBS0D4,DI SPREAD,"DI + 2,9500%",2028-09-15,1000,1084.03646,1093.718943,100.89,319,2.2291,,,NÃO,2.2291,3.0373,1.5591,0.1,2.11,2.33,,85a6de611cbad1826596e07c
2026-09-15,2026-09-14,AERI11,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,BRAERIDBS006,DI SPREAD,"DI + 3,0000%",2030-03-30,830.370964,928.48466,111.418159,12,,,,,,,,,,,,,ffc403d585534aa6e46305ad
2026-09-15,2026-09-14,AERI12,AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A,BRAERIDBS022,DI SPREAD,"DI + 3,0000%",2030-03-30,1230.871261,1376.306656,159.318443,11.57,,,,,,,,,,,,35%,35a186002b0b8f183af0f4cc
2026-09-15,2026-09-14,AESLA5,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),BRAESLDBS0O1,IPCA SPREAD,"IPCA + 6,1774%",2033-10-15,1137.14962,1165.630791,1104.206722,94.73,1252,1.0385,-0.2911,2032-08-15,SIM,7.335,7.4783,7.1757,0.08,7.25,7.41,,b9809aa9f3d07cd078fdd8d4
2026-09-15,2026-09-14,AESLA7,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),BRAESLDBS0R4,IPCA SPREAD,"IPCA + 6,1409%",2034-04-15,1106.74428,1134.302951,1065.92817,93.97,1336,1.0712,-0.2431,2033-05-15,SIM,7.3861,7.5505,7.2162,0.04,7.33,7.43,,1f2d4a6c590bc3726b74b782
2026-09-15,2026-09-14,AESLA8,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),BRAESLDBS0T0,DI SPREAD,"DI + 0,4900%",2029-09-10,1000,1001.072305,1002.429528,100.13,536,0.4261,,,NÃO,0.4261,0.575,0.2485,0.06,0.36,0.48,,c6b9e70c2309e1604d4e5ebf
2026-09-15,2026-09-14,AESLA9,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),BRAESLDBS0U8,IPCA SPREAD,"IPCA + 6,9249%",2035-05-15,1048.44441,1072.107562,1044.502572,97.42,1486,1.1681,-0.2324,2033-05-15,SIM,7.3976,7.5315,7.2456,0.05,7.33,7.45,,1d486b5dec37d4d2cef5785a
2026-09-15,2026-09-14,AESLB0,RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*),BRAESLDBS0V6,IPCA SPREAD,"IPCA + 6,8967%",2035-09-15,1038.32576,1073.249859,1040.599839,96.95,1518,1.2695,-0.1615,2035-05-15,SIM,7.4444,7.6406,7.257,0.07,7.36,7.52,,55aa2a540deb5dcc3eacb5ca
