data_referencia,emissor,codigo_ativo,isin,quantidade,numero_de_negocios,pu_minimo,pu_medio,pu_maximo,pu_da_curva,data_captura,conjunto,arquivo_origem,registro_hash
8/7/2026,AGUAS DE BOMBINHAS SANEAMENTO SPE S.A.,ABSP12,BRABSPDBS013,432,2,1036.628091,1036.648824,1036.669557,100.12,2026-07-09,debêntures___preços_de_negociação,,7bbf9de7457f6cc22a4dbae6
8/7/2026,ACO VERDE DO BRASIL S/A,ACOV15,BRACOVDBS026,3962,4,998.379110,998.430897,998.482684,98.71,2026-07-09,debêntures___preços_de_negociação,,a9752613427b0ff11c4bd8cc
8/7/2026,AGUAS DO PARA A SPE S.A.,ADPA21,BRADPADBS017,1928,4,1011.677336,1011.712746,1011.748156,100.40,2026-07-09,debêntures___preços_de_negociação,,de0fb4622a6bbd85b2497314
8/7/2026,CAJUINA AB1 HOLDINGS S.A,AEAB11,BRAEABDBS007,684,7,1056.243205,1107.927010,1108.481231,90.85,2026-07-09,debêntures___preços_de_negociação,,779a9146b5efae7a17538e83
8/7/2026,EQUIPAV SANEAMENTO S.A.,AEGE16,BRAEGEDBS057,49,3,1052.208218,1057.528205,1060.107592,100.02,2026-07-09,debêntures___preços_de_negociação,,93efda49c94c8a340c2d0fa9
8/7/2026,EQUIPAV SANEAMENTO S.A.,AEGE17,BRAEGEDBS065,116,5,876.917252,964.859056,994.402422,95.41,2026-07-09,debêntures___preços_de_negociação,,6a6fdce098533fbf1f7b17cd
8/7/2026,AEGEA SANEAMENTO E PARTICIPACOES S/A,AEGP17,BRAEGPDBS061,142,2,345.369926,345.376834,345.383742,85.85,2026-07-09,debêntures___preços_de_negociação,,b41a4781351b1f5dd32be6b3
8/7/2026,AEGEA SANEAMENTO E PARTICIPACOES S/A,AEGP19,BRAEGPDBS079,32985,12,1027.778075,1030.384770,1030.492358,99.10,2026-07-09,debêntures___preços_de_negociação,,550114c351a74ec1f7e18d77
8/7/2026,AEGEA SANEAMENTO E PARTICIPACOES S/A,AEGPA0,BRAEGPDBS087,3508,22,943.755033,990.232741,1000.209535,96.80,2026-07-09,debêntures___preços_de_negociação,,af7292289cfc5f2797394d5b
8/7/2026,AEGEA SANEAMENTO E PARTICIPACOES S/A,AEGPB3,BRAEGPDBS0J1,6190,13,994.606247,1002.217002,1003.466395,94.70,2026-07-09,debêntures___preços_de_negociação,,587395b45249dfdb16d0d0a0
8/7/2026,AEGEA SANEAMENTO E PARTICIPACOES S/A,AEGPB4,BRAEGPDBS0K9,9288,4,1077.186389,1077.186389,1077.186389,96.47,2026-07-09,debêntures___preços_de_negociação,,8ebd15478f9acc30a63630fe
8/7/2026,AEGEA SANEAMENTO E PARTICIPACOES S/A,AEGPB5,BRAEGPDBS0M5,57199,35,950.892138,954.852496,966.067458,94.52,2026-07-09,debêntures___preços_de_negociação,,d564f5bf659f157504042317
