data_captura,data_referencia,codigo_ativo,label,valor
2026-07-28,1977-01-01,FUNCEX12_XPT12,Exportações Preços Índice,51.48
2026-07-28,1977-02-01,FUNCEX12_XPT12,Exportações Preços Índice,51.61
2026-07-28,1977-03-01,FUNCEX12_XPT12,Exportações Preços Índice,55.92
2026-07-28,1977-04-01,FUNCEX12_XPT12,Exportações Preços Índice,57.57
2026-07-28,1977-05-01,FUNCEX12_XPT12,Exportações Preços Índice,59.49
2026-07-28,1977-06-01,FUNCEX12_XPT12,Exportações Preços Índice,63.34
2026-07-28,1977-07-01,FUNCEX12_XPT12,Exportações Preços Índice,58.64
2026-07-28,1977-08-01,FUNCEX12_XPT12,Exportações Preços Índice,57.31
2026-07-28,1977-09-01,FUNCEX12_XPT12,Exportações Preços Índice,53.8
2026-07-28,1977-10-01,FUNCEX12_XPT12,Exportações Preços Índice,52.14
2026-07-28,1977-11-01,FUNCEX12_XPT12,Exportações Preços Índice,50.36
2026-07-28,1977-12-01,FUNCEX12_XPT12,Exportações Preços Índice,52.67
2026-07-28,1978-01-01,FUNCEX12_XPT12,Exportações Preços Índice,54.52
2026-07-28,1978-02-01,FUNCEX12_XPT12,Exportações Preços Índice,52.27
2026-07-28,1978-03-01,FUNCEX12_XPT12,Exportações Preços Índice,52.2
2026-07-28,1978-04-01,FUNCEX12_XPT12,Exportações Preços Índice,51.47
2026-07-28,1978-05-01,FUNCEX12_XPT12,Exportações Preços Índice,51.2
2026-07-28,1978-06-01,FUNCEX12_XPT12,Exportações Preços Índice,50.74
2026-07-28,1978-07-01,FUNCEX12_XPT12,Exportações Preços Índice,51.47
2026-07-28,1978-08-01,FUNCEX12_XPT12,Exportações Preços Índice,51.07
2026-07-28,1978-09-01,FUNCEX12_XPT12,Exportações Preços Índice,51.14
2026-07-28,1978-10-01,FUNCEX12_XPT12,Exportações Preços Índice,51.73
2026-07-28,1978-11-01,FUNCEX12_XPT12,Exportações Preços Índice,52.27
2026-07-28,1978-12-01,FUNCEX12_XPT12,Exportações Preços Índice,51.27
2026-07-28,1979-01-01,FUNCEX12_XPT12,Exportações Preços Índice,52.94
2026-07-28,1979-02-01,FUNCEX12_XPT12,Exportações Preços Índice,53.27
2026-07-28,1979-03-01,FUNCEX12_XPT12,Exportações Preços Índice,53.46
2026-07-28,1979-04-01,FUNCEX12_XPT12,Exportações Preços Índice,54.2
2026-07-28,1979-05-01,FUNCEX12_XPT12,Exportações Preços Índice,54.73
2026-07-28,1979-06-01,FUNCEX12_XPT12,Exportações Preços Índice,56.18
2026-07-28,1979-07-01,FUNCEX12_XPT12,Exportações Preços Índice,58.44
2026-07-28,1979-08-01,FUNCEX12_XPT12,Exportações Preços Índice,58.5
2026-07-28,1979-09-01,FUNCEX12_XPT12,Exportações Preços Índice,59.37
2026-07-28,1979-10-01,FUNCEX12_XPT12,Exportações Preços Índice,60.75
2026-07-28,1979-11-01,FUNCEX12_XPT12,Exportações Preços Índice,61.22
2026-07-28,1979-12-01,FUNCEX12_XPT12,Exportações Preços Índice,63.53
2026-07-28,1980-01-01,FUNCEX12_XPT12,Exportações Preços Índice,61.81
2026-07-28,1980-02-01,FUNCEX12_XPT12,Exportações Preços Índice,61.61
2026-07-28,1980-03-01,FUNCEX12_XPT12,Exportações Preços Índice,60.82
2026-07-28,1980-04-01,FUNCEX12_XPT12,Exportações Preços Índice,61.81
2026-07-28,1980-05-01,FUNCEX12_XPT12,Exportações Preços Índice,61.88
2026-07-28,1980-06-01,FUNCEX12_XPT12,Exportações Preços Índice,62.28
2026-07-28,1980-07-01,FUNCEX12_XPT12,Exportações Preços Índice,60.22
2026-07-28,1980-08-01,FUNCEX12_XPT12,Exportações Preços Índice,62.54
2026-07-28,1980-09-01,FUNCEX12_XPT12,Exportações Preços Índice,63.13
2026-07-28,1980-10-01,FUNCEX12_XPT12,Exportações Preços Índice,63.93
2026-07-28,1980-11-01,FUNCEX12_XPT12,Exportações Preços Índice,62.48
2026-07-28,1980-12-01,FUNCEX12_XPT12,Exportações Preços Índice,61.54
2026-07-28,1981-01-01,FUNCEX12_XPT12,Exportações Preços Índice,63.07
2026-07-28,1981-02-01,FUNCEX12_XPT12,Exportações Preços Índice,62.34
2026-07-28,1981-03-01,FUNCEX12_XPT12,Exportações Preços Índice,63.0
2026-07-28,1981-04-01,FUNCEX12_XPT12,Exportações Preços Índice,61.94
2026-07-28,1981-05-01,FUNCEX12_XPT12,Exportações Preços Índice,61.35
2026-07-28,1981-06-01,FUNCEX12_XPT12,Exportações Preços Índice,59.29
2026-07-28,1981-07-01,FUNCEX12_XPT12,Exportações Preços Índice,58.69
2026-07-28,1981-08-01,FUNCEX12_XPT12,Exportações Preços Índice,58.63
2026-07-28,1981-09-01,FUNCEX12_XPT12,Exportações Preços Índice,57.57
2026-07-28,1981-10-01,FUNCEX12_XPT12,Exportações Preços Índice,55.71
2026-07-28,1981-11-01,FUNCEX12_XPT12,Exportações Preços Índice,56.71
2026-07-28,1981-12-01,FUNCEX12_XPT12,Exportações Preços Índice,58.69
2026-07-28,1982-01-01,FUNCEX12_XPT12,Exportações Preços Índice,59.09
