data_captura,data_referencia,codigo_ativo,label,valor
2026-09-26,1940-07-01,GAC12_SALMINRE12,Salário Mínimo Real,1022.98292705136
2026-09-26,1940-07-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1940-08-01,GAC12_SALMINRE12,Salário Mínimo Real,1020.12657264794
2026-09-26,1940-08-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1940-09-01,GAC12_SALMINRE12,Salário Mínimo Real,1019.20928429208
2026-09-26,1940-09-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1940-10-01,GAC12_SALMINRE12,Salário Mínimo Real,1003.25749019793
2026-09-26,1940-10-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1940-11-01,GAC12_SALMINRE12,Salário Mínimo Real,980.701358942262
2026-09-26,1940-11-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1940-12-01,GAC12_SALMINRE12,Salário Mínimo Real,997.763108090609
2026-09-26,1940-12-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-01-01,GAC12_SALMINRE12,Salário Mínimo Real,971.910294263206
2026-09-26,1941-01-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-02-01,GAC12_SALMINRE12,Salário Mínimo Real,931.930476808135
2026-09-26,1941-02-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-03-01,GAC12_SALMINRE12,Salário Mínimo Real,964.132502387897
2026-09-26,1941-03-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-04-01,GAC12_SALMINRE12,Salário Mínimo Real,952.323688648655
2026-09-26,1941-04-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-05-01,GAC12_SALMINRE12,Salário Mínimo Real,917.813886515663
2026-09-26,1941-05-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-06-01,GAC12_SALMINRE12,Salário Mínimo Real,895.166182108325
2026-09-26,1941-06-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-07-01,GAC12_SALMINRE12,Salário Mínimo Real,909.352074470057
2026-09-26,1941-07-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-08-01,GAC12_SALMINRE12,Salário Mínimo Real,897.327880866445
2026-09-26,1941-08-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-09-01,GAC12_SALMINRE12,Salário Mínimo Real,890.029637836187
2026-09-26,1941-09-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-10-01,GAC12_SALMINRE12,Salário Mínimo Real,902.575436402179
2026-09-26,1941-10-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-11-01,GAC12_SALMINRE12,Salário Mínimo Real,884.964640064884
2026-09-26,1941-11-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1941-12-01,GAC12_SALMINRE12,Salário Mínimo Real,896.620709285601
2026-09-26,1941-12-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-01-01,GAC12_SALMINRE12,Salário Mínimo Real,904.854888773434
2026-09-26,1942-01-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-02-01,GAC12_SALMINRE12,Salário Mínimo Real,900.353123157652
2026-09-26,1942-02-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-03-01,GAC12_SALMINRE12,Salário Mínimo Real,901.886329918512
2026-09-26,1942-03-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-04-01,GAC12_SALMINRE12,Salário Mínimo Real,860.496450642603
2026-09-26,1942-04-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-05-01,GAC12_SALMINRE12,Salário Mínimo Real,844.451865203734
2026-09-26,1942-05-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-06-01,GAC12_SALMINRE12,Salário Mínimo Real,815.344081494381
2026-09-26,1942-06-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-07-01,GAC12_SALMINRE12,Salário Mínimo Real,792.211505532823
2026-09-26,1942-07-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-08-01,GAC12_SALMINRE12,Salário Mínimo Real,781.967728292198
2026-09-26,1942-08-01,MTE12_SALMIN12,Salário Mínimo Vigente,8.72727272727273e-14
2026-09-26,1942-09-01,GAC12_SALMINRE12,Salário Mínimo Real,766.034216587183
