data_captura,data_referencia,codigo_ativo,label,valor
2026-08-01,1944-01-01,IGP12_IGPDI12,IGP-DI Índice Geral,8.371376e-14
2026-08-01,1944-02-01,IGP12_IGPDI12,IGP-DI Índice Geral,8.4927e-14
2026-08-01,1944-03-01,IGP12_IGPDI12,IGP-DI Índice Geral,8.614024e-14
2026-08-01,1944-04-01,IGP12_IGPDI12,IGP-DI Índice Geral,8.735348e-14
2026-08-01,1944-05-01,IGP12_IGPDI12,IGP-DI Índice Geral,8.856673e-14
2026-08-01,1944-06-01,IGP12_IGPDI12,IGP-DI Índice Geral,8.977997e-14
2026-08-01,1944-07-01,IGP12_IGPDI12,IGP-DI Índice Geral,9.099321e-14
2026-08-01,1944-08-01,IGP12_IGPDI12,IGP-DI Índice Geral,9.220646e-14
2026-08-01,1944-09-01,IGP12_IGPDI12,IGP-DI Índice Geral,9.34197e-14
2026-08-01,1944-10-01,IGP12_IGPDI12,IGP-DI Índice Geral,9.584618e-14
2026-08-01,1944-11-01,IGP12_IGPDI12,IGP-DI Índice Geral,9.827267e-14
2026-08-01,1944-12-01,IGP12_IGPDI12,IGP-DI Índice Geral,9.827267e-14
2026-08-01,1945-01-01,IGP12_IGPDI12,IGP-DI Índice Geral,9.948591e-14
2026-08-01,1945-02-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.019124e-13
2026-08-01,1945-03-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.006991e-13
2026-08-01,1945-04-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.006991e-13
2026-08-01,1945-05-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.019124e-13
2026-08-01,1945-06-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.031256e-13
2026-08-01,1945-07-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.043388e-13
2026-08-01,1945-08-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.055521e-13
2026-08-01,1945-09-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.055521e-13
2026-08-01,1945-10-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.067653e-13
2026-08-01,1945-11-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.079786e-13
2026-08-01,1945-12-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.091918e-13
2026-08-01,1946-01-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.104051e-13
2026-08-01,1946-02-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.116183e-13
2026-08-01,1946-03-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.128315e-13
2026-08-01,1946-04-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.140448e-13
2026-08-01,1946-05-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.15258e-13
2026-08-01,1946-06-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.188978e-13
2026-08-01,1946-07-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.213242e-13
2026-08-01,1946-08-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.261772e-13
2026-08-01,1946-09-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.298169e-13
2026-08-01,1946-10-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.310302e-13
2026-08-01,1946-11-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.322434e-13
2026-08-01,1946-12-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.334567e-13
2026-08-01,1947-01-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.383096e-13
2026-08-01,1947-02-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.395229e-13
2026-08-01,1947-03-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.407361e-13
2026-08-01,1947-04-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.370964e-13
2026-08-01,1947-05-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.358832e-13
2026-08-01,1947-06-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.346699e-13
2026-08-01,1947-07-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.322434e-13
2026-08-01,1947-08-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.322434e-13
2026-08-01,1947-09-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.334567e-13
2026-08-01,1947-10-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.334567e-13
2026-08-01,1947-11-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.346699e-13
2026-08-01,1947-12-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.370964e-13
2026-08-01,1948-01-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.407361e-13
2026-08-01,1948-02-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.443759e-13
2026-08-01,1948-03-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.468023e-13
2026-08-01,1948-04-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.455891e-13
2026-08-01,1948-05-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.443759e-13
2026-08-01,1948-06-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.455891e-13
2026-08-01,1948-07-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.443759e-13
2026-08-01,1948-08-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.455891e-13
2026-08-01,1948-09-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.455891e-13
2026-08-01,1948-10-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.455891e-13
2026-08-01,1948-11-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.468023e-13
2026-08-01,1948-12-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.480156e-13
2026-08-01,1949-01-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.504421e-13
2026-08-01,1949-02-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.516553e-13
2026-08-01,1949-03-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.516553e-13
2026-08-01,1949-04-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.516553e-13
2026-08-01,1949-05-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.516553e-13
2026-08-01,1949-06-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.516553e-13
2026-08-01,1949-07-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.528686e-13
2026-08-01,1949-08-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.540818e-13
2026-08-01,1949-09-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.55295e-13
2026-08-01,1949-10-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.589348e-13
2026-08-01,1949-11-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.662142e-13
2026-08-01,1949-12-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.662142e-13
2026-08-01,1950-01-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.686407e-13
2026-08-01,1950-02-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.686407e-13
2026-08-01,1950-03-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.65001e-13
2026-08-01,1950-04-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.637877e-13
2026-08-01,1950-05-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.65001e-13
2026-08-01,1950-06-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.662142e-13
2026-08-01,1950-07-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.69854e-13
2026-08-01,1950-08-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.747069e-13
2026-08-01,1950-09-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.795599e-13
2026-08-01,1950-10-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.844129e-13
2026-08-01,1950-11-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.844129e-13
2026-08-01,1950-12-01,IGP12_IGPDI12,IGP-DI Índice Geral,1.868394e-13
