data_captura,data_referencia,codigo_ativo,label,valor
2026-07-27,1966-12-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,9.073
2026-07-27,1967-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.626
2026-07-27,1967-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.808
2026-07-27,1967-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.117
2026-07-27,1967-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,5.543
2026-07-27,1968-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.276
2026-07-27,1968-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,9.154
2026-07-27,1968-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.126
2026-07-27,1968-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.678
2026-07-27,1969-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.622
2026-07-27,1969-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,5.722
2026-07-27,1969-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,3.86
2026-07-27,1969-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.643
2026-07-27,1970-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.025
2026-07-27,1970-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,4.942
2026-07-27,1970-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,4.563
2026-07-27,1970-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.6471
2026-07-27,1971-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,5.745
2026-07-27,1971-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.169
2026-07-27,1971-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.97
2026-07-27,1971-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.504
2026-07-27,1972-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,5.243
2026-07-27,1972-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.248
2026-07-27,1972-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,4.529
2026-07-27,1972-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,4.292
2026-07-27,1973-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,4.789
2026-07-27,1973-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,5.085
2026-07-27,1973-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,4.238
2026-07-27,1973-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,5.05
2026-07-27,1974-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,5.381
2026-07-27,1974-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,8.822
2026-07-27,1974-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,15.138
2026-07-27,1974-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.305
2026-07-27,1975-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.684
2026-07-27,1975-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.812
2026-07-27,1975-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.937
2026-07-27,1975-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.634
2026-07-27,1976-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,8.239
2026-07-27,1976-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,10.284
2026-07-27,1976-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,10.478
2026-07-27,1976-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,10.701
2026-07-27,1977-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.643
2026-07-27,1977-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,11.345
2026-07-27,1977-07-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,7.802
2026-07-27,1977-10-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,6.456
2026-07-27,1978-01-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,8.743
2026-07-27,1978-04-01,ANBIMA12_TJPOUP12,Poupança Rentabilidade Antiga,10.854
