data_captura,data_referencia,codigo_ativo,label,preco_fechamento
2026-06-28,2026-05-29,AAPL,APPLE,312.05999755859375
2026-06-28,2026-06-01,AAPL,APPLE,306.30999755859375
2026-06-28,2026-06-02,AAPL,APPLE,315.20001220703125
2026-06-28,2026-06-03,AAPL,APPLE,310.260009765625
2026-06-28,2026-06-04,AAPL,APPLE,311.2300109863281
2026-06-28,2026-06-05,AAPL,APPLE,307.3399963378906
2026-06-28,2026-06-08,AAPL,APPLE,301.5400085449219
2026-06-28,2026-06-09,AAPL,APPLE,290.54998779296875
2026-06-28,2026-06-10,AAPL,APPLE,291.5799865722656
2026-06-28,2026-06-11,AAPL,APPLE,295.6300048828125
2026-06-28,2026-06-12,AAPL,APPLE,291.1300048828125
2026-06-28,2026-06-15,AAPL,APPLE,296.4200134277344
2026-06-28,2026-06-16,AAPL,APPLE,299.239990234375
2026-06-28,2026-06-17,AAPL,APPLE,295.95001220703125
2026-06-28,2026-06-18,AAPL,APPLE,298.010009765625
2026-06-28,2026-06-22,AAPL,APPLE,297.010009765625
2026-06-28,2026-06-23,AAPL,APPLE,294.29998779296875
2026-06-28,2026-06-24,AAPL,APPLE,293.0799865722656
2026-06-28,2026-06-25,AAPL,APPLE,275.1499938964844
2026-06-28,2026-06-26,AAPL,APPLE,283.7799987792969
2026-06-28,2026-05-29,MSFT,MICROSOFT,450.239990234375
2026-06-28,2026-06-01,MSFT,MICROSOFT,460.5199890136719
2026-06-28,2026-06-02,MSFT,MICROSOFT,441.30999755859375
2026-06-28,2026-06-03,MSFT,MICROSOFT,427.3399963378906
2026-06-28,2026-06-04,MSFT,MICROSOFT,428.04998779296875
2026-06-28,2026-06-05,MSFT,MICROSOFT,416.6700134277344
2026-06-28,2026-06-08,MSFT,MICROSOFT,411.739990234375
2026-06-28,2026-06-09,MSFT,MICROSOFT,403.4100036621094
2026-06-28,2026-06-10,MSFT,MICROSOFT,397.3599853515625
2026-06-28,2026-06-11,MSFT,MICROSOFT,390.3399963378906
2026-06-28,2026-06-12,MSFT,MICROSOFT,390.739990234375
2026-06-28,2026-06-15,MSFT,MICROSOFT,399.760009765625
2026-06-28,2026-06-16,MSFT,MICROSOFT,393.8299865722656
2026-06-28,2026-06-17,MSFT,MICROSOFT,378.9100036621094
2026-06-28,2026-06-18,MSFT,MICROSOFT,379.3999938964844
2026-06-28,2026-06-22,MSFT,MICROSOFT,367.3399963378906
2026-06-28,2026-06-23,MSFT,MICROSOFT,373.94000244140625
2026-06-28,2026-06-24,MSFT,MICROSOFT,365.4599914550781
2026-06-28,2026-06-25,MSFT,MICROSOFT,352.8299865722656
2026-06-28,2026-06-26,MSFT,MICROSOFT,372.9700012207031
2026-06-28,2026-05-29,GOOGL,GOOGLE,380.3399963378906
2026-06-28,2026-06-01,GOOGL,GOOGLE,376.3699951171875
2026-06-28,2026-06-02,GOOGL,GOOGLE,361.8500061035156
2026-06-28,2026-06-03,GOOGL,GOOGLE,358.989990234375
2026-06-28,2026-06-04,GOOGL,GOOGLE,372.19000244140625
2026-06-28,2026-06-05,GOOGL,GOOGLE,368.5299987792969
2026-06-28,2026-06-08,GOOGL,GOOGLE,363.30999755859375
2026-06-28,2026-06-09,GOOGL,GOOGLE,364.260009765625
2026-06-28,2026-06-10,GOOGL,GOOGLE,356.3800048828125
2026-06-28,2026-06-11,GOOGL,GOOGLE,357.7699890136719
2026-06-28,2026-06-12,GOOGL,GOOGLE,359.67999267578125
2026-06-28,2026-06-15,GOOGL,GOOGLE,369.3500061035156
2026-06-28,2026-06-16,GOOGL,GOOGLE,373.25
2026-06-28,2026-06-17,GOOGL,GOOGLE,363.7900085449219
2026-06-28,2026-06-18,GOOGL,GOOGLE,368.0299987792969
2026-06-28,2026-06-22,GOOGL,GOOGLE,349.67999267578125
2026-06-28,2026-06-23,GOOGL,GOOGLE,346.1300048828125
2026-06-28,2026-06-24,GOOGL,GOOGLE,345.2900085449219
2026-06-28,2026-06-25,GOOGL,GOOGLE,343.7099914550781
2026-06-28,2026-06-26,GOOGL,GOOGLE,337.3900146484375
2026-06-28,2026-05-29,AMZN,AMAZON,270.6400146484375
2026-06-28,2026-06-01,AMZN,AMAZON,261.260009765625
2026-06-28,2026-06-02,AMZN,AMAZON,256.5199890136719
2026-06-28,2026-06-03,AMZN,AMAZON,250.02000427246094
2026-06-28,2026-06-04,AMZN,AMAZON,253.7899932861328
2026-06-28,2026-06-05,AMZN,AMAZON,246.02999877929688
2026-06-28,2026-06-08,AMZN,AMAZON,245.22000122070312
