data_captura,data_referencia,codigo_ativo,label,preco_fechamento
2026-06-27,2026-05-28,EWZ,EWZ_IBOV_USD,36.11000061035156
2026-06-27,2026-05-28,BND,VANGUARD_BOND_ETF,73.41999816894531
2026-06-27,2026-05-28,HYG,HIGH_YIELD_BOND_ETF,80.2300033569336
2026-06-27,2026-05-28,LQD,INVEST_GRADE_BOND_ETF,109.26000213623047
2026-06-27,2026-05-28,SPY,SPY_S_P_500_ETF,754.5999755859375
2026-06-27,2026-05-28,QQQ,QQQ_NASDAQ_ETF,735.5999755859375
2026-06-27,2026-05-28,DIA,DIA_DOW_JONES_ETF,507.04998779296875
2026-06-27,2026-05-28,IWM,IWM_RUSSELL_2000_ETF,292.0299987792969
2026-06-27,2026-05-28,EEM,EEM_EMERGING_MKT_ETF,68.61000061035156
2026-06-27,2026-05-28,VGK,VGK_EUROPE_ETF,89.02999877929688
2026-06-27,2026-05-28,VWO,VWO_EMERGING_VANGUARD,59.900001525878906
2026-06-27,2026-05-28,XLE,XLE_ENERGY_SPDR,56.95000076293945
2026-06-27,2026-05-28,XLF,XLF_FINANCIAL_SPDR,51.27000045776367
2026-06-27,2026-05-28,XLK,XLK_TECH_SPDR,186.85000610351562
2026-06-27,2026-05-28,BMMT11.SA,BMMT11,156.41000366210938
2026-06-27,2026-05-28,AGRI11.SA,AGRI11,39.880001068115234
2026-06-27,2026-05-28,BBOV11.SA,BBOV11,92.0
2026-06-27,2026-05-28,BRAZ11.SA,BRAZ11,12.0
2026-06-27,2026-05-28,DVER11.SA,DVER11,12.600000381469727
2026-06-27,2026-05-28,BBOI11.SA,BBOI11,11.829999923706055
2026-06-27,2026-05-28,DOLA11.SA,DOLA11,9.899999618530273
2026-06-27,2026-05-28,CORN11.SA,CORN11,7.179999828338623
2026-06-27,2026-05-28,BBSD11.SA,BBSD11,134.85000610351562
2026-06-27,2026-05-28,TECX11.SA,TECX11,194.3000030517578
2026-06-27,2026-05-28,PKIN11.SA,PKIN11,119.62999725341797
2026-06-27,2026-05-28,OURO11.SA,OURO11,99.7300033569336
2026-06-27,2026-05-28,BREW11.SA,BREW11,143.8699951171875
2026-06-27,2026-05-28,BCIC11.SA,BCIC11,135.24000549316406
2026-06-27,2026-05-28,BDEF11.SA,BDEF11,162.63999938964844
2026-06-27,2026-05-28,IBOB11.SA,IBOB11,143.9199981689453
2026-06-27,2026-05-28,ESGB11.SA,ESGB11,118.61000061035156
2026-06-27,2026-05-28,DOLB11.SA,DOLB11,93.83000183105469
2026-06-27,2026-05-28,SPXB11.SA,SPXB11,16.790000915527344
2026-06-27,2026-05-28,SPBZ11.SA,SPBZ11,117.51000213623047
2026-06-27,2026-05-28,GENB11.SA,GENB11,18.760000228881836
2026-06-27,2026-05-28,SMAB11.SA,SMAB11,8.199999809265137
2026-06-27,2026-05-28,CMDB11.SA,CMDB11,17.020000457763672
2026-06-27,2026-05-28,AUVP11.SA,AUVP11,119.45999908447266
2026-06-27,2026-05-28,TIRB11.SA,TIRB11,13.5
2026-06-27,2026-05-28,BRXC11.SA,BRXC11,130.1699981689453
2026-06-27,2026-05-28,RICO11.SA,RICO11,31.34000015258789
2026-06-27,2026-05-28,GDIV11.SA,GDIV11,95.83000183105469
2026-06-27,2026-05-28,XBCI11.SA,XBCI11,103.69000244140625
2026-06-27,2026-05-28,XSPI11.SA,XSPI11,108.4000015258789
2026-06-27,2026-05-28,PIPE11.SA,PIPE11,97.20999908447266
2026-06-27,2026-05-28,QQQQ11.SA,QQQQ11,134.02999877929688
2026-06-27,2026-05-28,QQQI11.SA,QQQI11,98.48999786376953
2026-06-27,2026-05-28,COIN11.SA,COIN11,44.75
2026-06-27,2026-05-28,FIXX11.SA,FIXX11,92.18000030517578
2026-06-27,2026-05-28,AURO11.SA,AURO11,100.55999755859375
2026-06-27,2026-05-28,CASA11.SA,CASA11,85.9000015258789
2026-06-27,2026-05-28,IWMI11.SA,IWMI11,81.19999694824219
2026-06-27,2026-05-28,SPYI11.SA,SPYI11,107.30000305175781
2026-06-27,2026-05-28,XBOV11.SA,XBOV11,170.8000030517578
2026-06-27,2026-05-28,GLDX11.SA,GLDX11,105.76000213623047
2026-06-27,2026-05-28,TRIG11.SA,TRIG11,46.09000015258789
2026-06-27,2026-05-28,BOVB11.SA,BOVB11,179.1999969482422
2026-06-27,2026-05-28,GXUS11.SA,GXUS11,109.5
2026-06-27,2026-05-28,ARGE11.SA,ARGE11,13.170000076293945
2026-06-27,2026-05-28,UTLL11.SA,UTLL11,120.79000091552734
2026-06-27,2026-05-28,PEVC11.SA,PEVC11,152.6699981689453
2026-06-27,2026-05-28,BEST11.SA,BEST11,113.0
2026-06-27,2026-05-28,BVBR11.SA,BVBR11,21.559999465942383
2026-06-27,2026-05-28,JOGO11.SA,JOGO11,111.23999786376953
2026-06-27,2026-05-28,USTK11.SA,USTK11,21.440000534057617
2026-06-27,2026-05-28,SVAL11.SA,SVAL11,144.75999450683594
2026-06-27,2026-05-28,CHIP11.SA,CHIP11,37.099998474121094
2026-06-27,2026-05-28,VWRA11.SA,VWRA11,109.5
2026-06-27,2026-05-28,IVWO11.SA,IVWO11,21.079999923706055
2026-06-27,2026-05-28,WRLD11.SA,WRLD11,143.3800048828125
2026-06-27,2026-05-28,GPUS11.SA,GPUS11,114.8499984741211
2026-06-27,2026-05-28,BDOM11.SA,BDOM11,130.97999572753906
2026-06-27,2026-05-28,BXPO11.SA,BXPO11,151.50999450683594
2026-06-27,2026-05-28,SCVB11.SA,SCVB11,86.77999877929688
2026-06-27,2026-05-28,ALUG11.SA,ALUG11,41.290000915527344
2026-06-27,2026-05-28,NUCL11.SA,NUCL11,81.95999908447266
